protocol,representation,repeat,fold,test_rows,mae,r2,spearman
lever_3_target_transform_and_robust_loss,Morgan,8,4,108,0.4972649078179693,0.38211220753620556,0.6986505350768201
lever_3_target_transform_and_robust_loss,Morgan+Physical,8,4,108,0.3637184758533332,0.5898562879424032,0.8376930832342935
lever_3_target_transform_and_robust_loss,Physical,8,4,108,0.3296166493155955,0.6303884996616953,0.8619762607981536
lever_3_target_transform_and_robust_loss,Morgan,9,0,68,0.5457394496158099,0.6006793443170436,0.8177433516790829
lever_3_target_transform_and_robust_loss,Morgan+Physical,9,0,68,0.36238325665863236,0.7326275339966677,0.8531243103364277
lever_3_target_transform_and_robust_loss,Physical,9,0,68,0.2923218485257119,0.7189841011388998,0.80368003046855
lever_3_target_transform_and_robust_loss,Morgan,9,1,106,0.4803184886176358,0.13777448004838977,0.5880857988325051
lever_3_target_transform_and_robust_loss,Morgan+Physical,9,1,106,0.2907266327271719,0.5882630799257351,0.8743413089506669
lever_3_target_transform_and_robust_loss,Physical,9,1,106,0.2603624451209954,0.6446555932336686,0.8914436114507602
lever_3_target_transform_and_robust_loss,Morgan,9,2,98,0.4461000834177578,0.22445170935142267,0.15656632047519187
lever_3_target_transform_and_robust_loss,Morgan+Physical,9,2,98,0.272043234793924,0.5672353759414306,0.8087202672972986
lever_3_target_transform_and_robust_loss,Physical,9,2,98,0.5935540338828151,-0.1664940196695992,0.871055508677639
lever_3_target_transform_and_robust_loss,Morgan,9,3,91,0.6415290920508326,-0.2054283053018684,0.32049340002995075
lever_3_target_transform_and_robust_loss,Morgan+Physical,9,3,91,0.46761974240193965,0.2051329255855867,0.623141852080337
lever_3_target_transform_and_robust_loss,Physical,9,3,91,0.273653082392793,0.8552694440184812,0.859589672374782
lever_3_target_transform_and_robust_loss,Morgan,9,4,94,1.2615272256366663,-0.7665110943785947,0.5181077399921287
lever_3_target_transform_and_robust_loss,Morgan+Physical,9,4,94,1.1473926150094822,-0.43962266315956056,0.6925672325428222
lever_3_target_transform_and_robust_loss,Physical,9,4,94,1.0528070064019255,-0.14560804011122985,0.7190254952454348
dummy_control,Morgan,0,0,129,1.118152885310981,-0.16044267921200617,0.02534015571734526
dummy_control,Morgan+Physical,0,0,129,1.0883116675310047,-0.0853943524638563,0.0274556470837248
dummy_control,Physical,0,0,129,1.0618882701750096,-0.051592833401687965,0.08336100088551629
dummy_control,Morgan,0,1,136,0.9095037869847333,-0.12025191920216116,-0.04252711186842739
dummy_control,Morgan+Physical,0,1,136,0.9049184098631899,-0.17802499105405567,-0.0030639117270279555
dummy_control,Physical,0,1,136,0.9779497301019111,-0.35334864602997507,0.02953649173853882
dummy_control,Morgan,0,2,72,1.0771471319603345,-0.060366528578867706,-0.08033450766350739
dummy_control,Morgan+Physical,0,2,72,1.0675689537241675,-0.015587308957389023,0.14951497335072583
dummy_control,Physical,0,2,72,1.07921891690295,-0.04252974025118195,0.16431924142636486
dummy_control,Morgan,0,3,46,1.1477221702020584,-0.1625737371691185,-0.03257187516760317
dummy_control,Morgan+Physical,0,3,46,1.0792593823786838,0.0009830894632000264,0.1789852007987728
dummy_control,Physical,0,3,46,1.0320514721471015,0.05088879966682003,0.25926259908377874
dummy_control,Morgan,0,4,74,1.0646496027553702,-0.10013339505791108,-0.009124792373191337
dummy_control,Morgan+Physical,0,4,74,1.0390323351015585,-0.06087699822501458,0.020820835696434385
dummy_control,Physical,0,4,74,1.0254830613185688,-0.053750070904859504,0.10367427158633952
dummy_control,Morgan,1,0,102,0.9681529287169524,0.036265687266824886,0.17250616885475603
dummy_control,Morgan+Physical,1,0,102,0.977977571454363,-0.010868843521737004,0.13300464864714567
dummy_control,Physical,1,0,102,1.0002024190534757,-0.09264164535028097,0.07307185832784989
dummy_control,Morgan,1,1,78,1.051358033894547,-0.0411844389743905,0.013741280031779988
dummy_control,Morgan+Physical,1,1,78,1.0343508580727114,-0.021627010689860393,0.008179759141264389
dummy_control,Physical,1,1,78,1.038260470292439,-0.047298548603861734,0.10998922640649
dummy_control,Morgan,1,2,92,1.1196769596452196,-0.0923761641258436,-0.15509965838974724
dummy_control,Morgan+Physical,1,2,92,1.0976116961559699,-0.04205160931012242,0.034078200188958054
dummy_control,Physical,1,2,92,1.0730818965872453,-0.043418509327754595,0.11638814006952009
dummy_control,Morgan,1,3,111,0.963273085704362,-0.010048385533750537,0.10755410385408323
dummy_control,Morgan+Physical,1,3,111,0.9625043384533863,-0.03051703764370184,0.0699858353602099
dummy_control,Physical,1,3,111,1.0103903037689226,-0.18062655115251314,0.021734131259795304
dummy_control,Morgan,1,4,74,0.9873498750095759,-0.11622997596907081,-0.029920197985558002
dummy_control,Morgan+Physical,1,4,74,0.9952247013937984,-0.1349883524147779,0.01748308996995148
dummy_control,Physical,1,4,74,1.047784649625184,-0.2676110841743897,-0.061985500802555236
dummy_control,Morgan,2,0,74,1.0641996290576599,-0.05945144578733763,-0.010729372365787285
dummy_control,Morgan+Physical,2,0,74,1.0482988299150786,-0.0607964409204238,0.01891464066966258
dummy_control,Physical,2,0,74,1.0537442300961395,-0.09263561025207401,0.032492862341614706
dummy_control,Morgan,2,1,116,1.0561188144510292,-0.06817543315591457,-0.050684924609521155
dummy_control,Morgan+Physical,2,1,116,0.984294540084665,-0.000499719516203978,0.08251831277033674
dummy_control,Physical,2,1,116,0.985572353012899,-0.023013098910162677,0.11142420895831019
dummy_control,Morgan,2,2,77,1.0705425151919636,-0.12569774914717025,0.016407540146402236
dummy_control,Morgan+Physical,2,2,77,1.089968987237451,-0.14069152239734195,0.027444267523855318
dummy_control,Physical,2,2,77,1.1100977231724707,-0.1850665111682237,0.02609844286643549
dummy_control,Morgan,2,3,99,0.9304769793520119,-0.08147815656472557,-0.01123223885451283
dummy_control,Morgan+Physical,2,3,99,0.9361691707309511,-0.07855616903088758,-0.025134279008792292
dummy_control,Physical,2,3,99,0.9728789088930845,-0.1767291496625234,-0.05687110642156994
dummy_control,Morgan,2,4,91,1.0255550092062398,-0.043821248199504614,0.06278255806459003
dummy_control,Morgan+Physical,2,4,91,0.988831520849624,0.03224989352774532,0.16683572523892462
dummy_control,Physical,2,4,91,0.9753342990233987,0.02691194835592403,0.1979731764239597
dummy_control,Morgan,3,0,109,1.0744546604364462,-0.08019592151180044,-0.07180612667354666
dummy_control,Morgan+Physical,3,0,109,1.0613579673742488,-0.05871710556180432,-0.017563485447469544
dummy_control,Physical,3,0,109,1.0701798941616991,-0.083529115899456,0.05790410693906006
dummy_control,Morgan,3,1,40,1.0301295854882055,-0.13371063300929276,-0.02476360049033849
dummy_control,Morgan+Physical,3,1,40,1.0428063088404271,-0.12017508682768163,-0.008537386283936375
dummy_control,Physical,3,1,40,1.115836532134367,-0.25791909341665864,-0.08302842704707356
dummy_control,Morgan,3,2,162,0.9932436546573795,-0.022986122794595554,-0.028814269871416102
dummy_control,Morgan+Physical,3,2,162,0.9586057989658596,0.016106076300844485,0.1307308019291289
dummy_control,Physical,3,2,162,0.9542994943221645,-0.019346680726902044,0.1513838435999062
dummy_control,Morgan,3,3,91,0.9765476033902223,-0.11148192348502106,0.1410582928268956
dummy_control,Morgan+Physical,3,3,91,0.956367647839762,-0.06273994104367975,0.214352627597243
dummy_control,Physical,3,3,91,0.950140821937767,-0.03426572410003126,0.1771584388520222
dummy_control,Morgan,3,4,55,1.1014738594368665,-0.01632759964761399,0.06881204756230791
dummy_control,Morgan+Physical,3,4,55,1.1283335759929394,-0.06285139027204178,-0.11175505428429432
dummy_control,Physical,3,4,55,1.1656725642886647,-0.1436394674359367,-0.09706187033370381
dummy_control,Morgan,4,0,59,1.0953225221747154,-0.05328046762425287,-0.010999940459939536
dummy_control,Morgan+Physical,4,0,59,1.0954914868912173,-0.007718107822358267,0.0008793439553603952
dummy_control,Physical,4,0,59,1.1314696168016973,-0.03341361253574915,0.05838843863593023
dummy_control,Morgan,4,1,117,1.0072757329754833,-0.09083756727298997,-0.0015104553100148549
dummy_control,Morgan+Physical,4,1,117,0.9942197504357073,-0.1216439209791409,0.004770452739133082
dummy_control,Physical,4,1,117,1.0144530297502727,-0.20934809182484537,0.08388194818055576
dummy_control,Morgan,4,2,111,0.9828714325795659,0.0019222760509340908,0.13623675488799708
dummy_control,Morgan+Physical,4,2,111,0.9692658250473946,-0.014214642038567593,0.05366242140583615
dummy_control,Physical,4,2,111,0.980509050647688,-0.06457093241563228,0.029976454131747373
dummy_control,Morgan,4,3,73,1.0886792806859684,-0.08048815343333304,-0.0043722960616240005
dummy_control,Morgan+Physical,4,3,73,1.0544169536771344,-0.023258837712768043,0.22850295979069377
dummy_control,Physical,4,3,73,1.0399650917746495,-0.03130070135827134,0.24646511671180457
dummy_control,Morgan,4,4,97,1.0807679524898417,-0.267524838981692,-0.06138974716347089
dummy_control,Morgan+Physical,4,4,97,1.0352683862053653,-0.14935396882399998,-0.026558698154088786
dummy_control,Physical,4,4,97,0.998136564708785,-0.07346086749296643,0.055678025228108954
dummy_control,Morgan,5,0,63,1.0028811986426784,-0.12842567926735793,-0.09392697641349822
dummy_control,Morgan+Physical,5,0,63,0.982440100547499,-0.05907150215072843,-0.009701652886166477
dummy_control,Physical,5,0,63,1.0125153025322393,-0.1348215279959306,0.044656491572801035
