protocol,representation,repeat,r2,mae,rmse,spearman,mae_lt20,mae_20_60,mae_gt60
band_all,Morgan+Physical,2,0.016946389049687816,11.746488839658738,18.372046544992997,0.4024966580191964,11.188012946102061,8.389678605319052,59.0646313280146
band_all,Morgan,3,-0.18931431672756394,12.233433213390581,20.20771736784396,0.4848025356164871,8.107211873024664,15.512485724900486,71.47388686305916
band_all,Physical,3,0.3252977644379573,9.009049663052625,15.220362995916641,0.6416618078501468,7.896987006288288,7.636225347259899,48.30886022267442
band_all,Morgan+Physical,3,0.22666478643502563,9.47406114918028,16.29494236351273,0.5587893233286403,7.772200827918741,8.34229761589898,59.59556919243994
band_all,Morgan,4,-0.04234532396920265,11.182925545243247,18.91797934062196,0.4567791217283212,6.328969207112189,15.90015976239428,71.98019884783157
band_all,Physical,4,0.23497852962378563,9.938756388011392,16.20711626168494,0.552309968346069,8.349386087813814,9.482897218727771,50.53172329825542
band_all,Morgan+Physical,4,0.2378720418053658,9.308929394252925,16.176437439606023,0.5398354604329606,6.784377864008912,9.797001025133174,61.25246898959545
band_all,Morgan,5,-0.026233279774124263,11.401055291455963,18.77119765807826,0.2756719410867113,7.103158435341729,14.75923132529867,73.69882150187391
band_all,Physical,5,-0.7455515754595559,15.872177307215777,24.481345232579216,0.35812987217558157,15.281379238586355,14.136809218795209,47.15357394100757
band_all,Morgan+Physical,5,0.04713001978176523,11.670329642803905,18.08780044901019,0.3308489059591119,11.023966450265352,8.372238491074048,60.365300856083
band_all,Morgan,6,-0.026984353572436115,11.271494699616952,18.778065480605886,0.451394598653467,6.363055187333204,15.912187588161894,74.09016658685563
band_all,Physical,6,-0.32702326600011133,11.763559359961022,21.345592008060674,0.36781303869870924,12.59370024095602,6.069111102822386,51.90658868408204
band_all,Morgan+Physical,6,0.07377447875772891,10.836843896442973,17.833118987730902,0.31139791827062163,9.199220036240776,9.367557564786432,62.9983773615411
band_all,Morgan,7,0.06021215389847556,10.954869058049967,17.963205890324183,0.5006469835242469,5.728438521948409,16.381366513821323,72.82646555377066
band_all,Physical,7,0.2866131552515566,8.745420269311477,15.65061773080593,0.6474323143304113,7.644622574589412,6.9827077934359325,51.82253978794178
band_all,Morgan+Physical,7,0.32238775023024757,9.031466997763562,15.253150657851545,0.7054886440374434,6.094564362761616,10.33107678442433,61.891963581166365
band_all,Morgan,8,-0.11369394625520535,11.884625679240592,19.554731857575575,0.4013331920578231,7.690660458915486,14.977314197116426,74.5814443830125
