protocol,representation,repeat,fold,train_rows,test_rows,train_compounds,test_compounds,extra_columns,mae,rmse,r2,spearman
room_baseline,Morgan+Physical,2,1,341,116,77,20,0,5.255862817961593,8.095500783212591,0.11883065531420267,0.8434360254481522
room_baseline,Morgan,2,2,380,77,78,19,0,9.717596913622572,23.713034818400796,-0.012727050664265604,0.6241040273746519
room_baseline,Physical,2,2,380,77,78,19,0,8.122421236508853,22.943890392270447,0.051904138113807896,0.7917222422455337
room_baseline,Morgan+Physical,2,2,380,77,78,19,0,8.169152891481078,23.017357738389933,0.04582272791077724,0.7870890362398834
room_baseline,Morgan,2,3,358,99,78,19,0,5.3638431406194504,6.41748197316443,0.42302779635107035,0.689508755078189
room_baseline,Physical,2,3,358,99,78,19,0,4.0920089546434815,7.604578632275814,0.18983050655130274,0.8221678324435785
room_baseline,Morgan+Physical,2,3,358,99,78,19,0,4.124234310311983,6.129200778756852,0.4737001183476688,0.7657110639530829
room_baseline,Morgan,2,4,366,91,78,19,0,15.364694404099014,18.23121267895863,-0.30200788879157603,0.6883674255525745
room_baseline,Physical,2,4,366,91,78,19,0,7.1942846869583965,8.494688593258948,0.7173314922828956,0.9150183847732065
room_baseline,Morgan+Physical,2,4,366,91,78,19,0,6.720492051847687,8.335912811713536,0.7277995568988198,0.9120164691866892
room_baseline,Morgan,3,0,348,109,77,20,0,9.850515186288819,18.62346037511424,0.12545782623629465,0.6104419011502987
room_baseline,Physical,3,0,348,109,77,20,0,6.33476714062822,16.882261648034888,0.28134367387228976,0.8240705581056469
room_baseline,Morgan+Physical,3,0,348,109,77,20,0,7.382438313531436,16.9771623857329,0.2732413583080485,0.799641532919014
room_baseline,Morgan,3,1,417,40,77,20,0,12.151753050231934,23.505476467129622,0.08449442878266733,0.6081145035610794
room_baseline,Physical,3,1,417,40,77,20,0,11.658883573436736,17.199779592082653,0.5098052712018711,0.6949646064590004
room_baseline,Morgan+Physical,3,1,417,40,77,20,0,11.366380926990509,17.99321860611051,0.4635359964598702,0.7709888256813365
room_baseline,Morgan,3,2,295,162,78,19,0,10.85950156441206,13.008316903320488,0.20059838194627222,0.5823115628924441
room_baseline,Physical,3,2,295,162,78,19,0,8.724482455851707,13.980304977004574,0.07667180586555189,0.7464286114446615
room_baseline,Morgan+Physical,3,2,295,162,78,19,0,8.258940378222054,9.702795837841885,0.5552493489777315,0.7715114745236148
room_baseline,Morgan,3,3,366,91,78,19,0,11.824455937027144,18.861687747531708,0.24200424139319576,0.7630677558307558
room_baseline,Physical,3,3,366,91,78,19,0,8.951035437162629,15.392625945399512,0.4951863317808033,0.9282659722429973
room_baseline,Morgan+Physical,3,3,366,91,78,19,0,9.947930633679064,16.184287445187696,0.4419246501328634,0.9112729109891047
room_baseline,Morgan,3,4,402,55,78,19,0,10.476464447515315,15.382098398837563,-0.809372282324345,0.18214316351441348
room_baseline,Physical,3,4,402,55,78,19,0,6.651674338227706,8.37549994800185,0.46356359515819456,0.8940890474516655
