protocol,representation,repeat,r2,mae,spearman
lever_3_target_transform_and_robust_loss,Physical,1,0.7067594615630981,0.37927327095973135,0.8590170246024721
lever_3_target_transform_and_robust_loss,Physical,2,0.6045936224106742,0.4135613702298252,0.833402211825402
lever_3_target_transform_and_robust_loss,Physical,3,0.6747899394608163,0.3691928231931674,0.8678948799370979
lever_3_target_transform_and_robust_loss,Physical,4,0.5769074918239663,0.48604459980022113,0.8031170425135162
lever_3_target_transform_and_robust_loss,Physical,5,0.7173304649092371,0.39745942495418074,0.8721548867040853
lever_3_target_transform_and_robust_loss,Physical,6,0.4579538290621551,0.5575218436701761,0.8290186215819347
lever_3_target_transform_and_robust_loss,Physical,7,0.7136111691557583,0.38269676170710343,0.866172545321995
lever_3_target_transform_and_robust_loss,Physical,8,0.657090577399781,0.3927816621357487,0.8479678633488763
lever_3_target_transform_and_robust_loss,Physical,9,0.4814752867416523,0.5022120116030963,0.7845160660583338
dummy_control,Morgan,0,-0.10178446210742531,1.04391273778857,-0.05266733735929752
dummy_control,Morgan,1,-0.03638615222744046,1.0147812011469515,0.0571394623836288
dummy_control,Morgan,2,-0.06364253681035614,1.0265537319255678,-0.025640195334007524
dummy_control,Morgan,3,-0.060510068015793284,1.0255429051184557,0.007256654308241259
dummy_control,Morgan,4,-0.07940707046123618,1.0413174999220176,-0.013940846177025694
dummy_control,Morgan,5,-0.08284669199631667,1.0351923794136013,-0.023149258588599415
dummy_control,Morgan,6,-0.05957749757972475,1.0296866709710115,-0.022220269423508462
dummy_control,Morgan,7,-0.06632169854353487,1.0219779867086507,0.02195707027796118
dummy_control,Morgan,8,-0.0897350469356124,1.0381123853240133,-0.04865005835909464
dummy_control,Morgan,9,-0.038555111310037526,1.020732898016658,0.02239244006549661
dummy_control,Morgan+Physical,0,-0.06039566234831928,1.0215763630371297,0.04125894184072978
dummy_control,Morgan+Physical,1,-0.0392450267433595,1.0107176471243604,0.07249262319962983
dummy_control,Morgan+Physical,2,-0.03275893490327486,1.0029415938304171,0.07525276619286023
dummy_control,Morgan+Physical,3,-0.037787147958683986,1.010464360750349,0.04478123473474416
dummy_control,Morgan+Physical,4,-0.05112682200458418,1.0195616765605506,0.05159288107754937
dummy_control,Morgan+Physical,5,-0.027048529677260902,1.0022897581774846,0.0566935312660008
dummy_control,Morgan+Physical,6,-0.035172292198065946,1.0092049681653026,0.07401441496768517
dummy_control,Morgan+Physical,7,-0.04253241761237714,1.0055273545956716,0.042521563661968576
dummy_control,Morgan+Physical,8,-0.03653232362149761,1.0027477787370915,0.06860715787128285
dummy_control,Morgan+Physical,9,-0.023173570638333585,1.0031492162428552,0.10282088643260112
dummy_control,Physical,0,-0.08836720296697131,1.0307409768485543,0.10548016303579241
dummy_control,Physical,1,-0.11500877880248783,1.0315489840326157,0.0641280159999095
dummy_control,Physical,2,-0.07074087410802621,1.0128039909243665,0.09136456317145177
dummy_control,Physical,3,-0.07287522287926929,1.0206879511190456,0.056415595934455706
dummy_control,Physical,4,-0.07406403336179723,1.0219276038736913,0.09292413797358923
dummy_control,Physical,5,-0.0391249695951188,1.004082868204411,0.10466603510496966
dummy_control,Physical,6,-0.09363515118373833,1.0273453162715571,0.09665019645519503
dummy_control,Physical,7,-0.07683700768099389,1.0187457920483902,0.0676648087222804
dummy_control,Physical,8,-0.047914688172041364,0.9937710119996698,0.1121902100441874
dummy_control,Physical,9,-0.08103345268617046,1.0275454750275979,0.11044391308453164
