model,target,train_size,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
xgb_enriched,reduction_free_energy,100,2,4,80,20,95e18be0e697fa7acb899d05194fed5d05c35cb4bf90d06b88641aa5ea8cc1c9,5cef0ee0ca26fef5879a6de5428a02d1e15c0c6020acdf558d7697f4196854a1,0.5029882692656884,0.5679974521723969,0.8177489919777373
linear_scalar,oxidation_free_energy,200,0,0,160,40,41b7c098901e1ead4aa50fd16b011f28580e8aad1d67db2581465722042d87cc,c963841b17cfbda91e9e95b1b895f9936e95aef70533aae9ce28e246fd09e1f8,0.2568866291934733,0.4147374487637973,0.8645983329822795
linear_scalar,oxidation_free_energy,200,0,1,160,40,8d64108843e5b858cbccccadcbda89a380f78167eca1574675b1a7589394c5ff,3fd74f611ec42b9083ea0fb2707482ee7978dd73182895ac8454149154e215bd,0.2818663741142945,0.32734652723431984,0.9295693708975071
linear_scalar,oxidation_free_energy,200,0,2,160,40,68ae279e5ffb3e99a7c4442ad70715e9846383bc10438e49310d7f1bac7670aa,1de1b8c46c21a2c885c8c0a7a600eca93599d85dddc169e590660a2322b8c52c,0.3055390082833334,0.4118355799847302,0.9307955588008882
linear_scalar,oxidation_free_energy,200,0,3,160,40,e5597e06b0eedbbc162ff3221460da077780e6ad5c723bf6e9f18979d2567581,e9a69e85bf8dce081eda537f35a99e52b2212136f96a3a05442f9af394de49a3,0.3084548318625754,0.4426335950146656,0.8875214323391232
linear_scalar,oxidation_free_energy,200,0,4,160,40,1023beba18f06781d5a97110751ef4704f3f63f27c70fab8659f50dcc08f669f,74ad7bfee38378a71440ef1f657a2c4549a7382a2137103428daec0983e84c4c,0.2660674976257276,0.36219173616802375,0.9418784848782231
linear_scalar,oxidation_free_energy,200,1,0,160,40,36d7b9e311744dc9e1bec83077793310ca1a68ba81bb5a511e34a25ae824e362,7db44434865ac14061de6edf33f7b22081ff646180d7a17d9f46eb58d997147d,0.29819245502726727,0.43021424204564507,0.9096044636650232
linear_scalar,oxidation_free_energy,200,1,1,160,40,4004537b0c24950267680b5f385950f51c53fdff37e334541eb44203370a72e9,b5fd4ddb1e545edd08795e1546a28304ea4396013c165e450a6735cdda1c5ffa,0.22837016236556984,0.31538479083164284,0.9501850340489121
linear_scalar,oxidation_free_energy,200,1,2,160,40,910cfb146afafe9ea9671af2e7dc049e814349bf5961362f4d4c48f872ec3f20,0570f69401d18a49705879462ff788c9653e403e22bef56eb920f73ce1f4e31d,0.23406000595441165,0.278362919170889,0.933017512756684
linear_scalar,oxidation_free_energy,200,1,3,160,40,f1bbb685e93096ff9345046814c7d20fc64fb61e28984fec925d2666bcceab45,24e5438c35a4849a500dd935ad211087fe099ca445be7332b0a95f6fd16dac68,0.3222679745029917,0.44371054877836485,0.9053761323945313
