queue_rank,inchikey,name,smiles,target_dielectric,target_T_K,local_rows,local_distinct_T,family_tag,is_champion,champion_short,model_ready,probed_in_this_round,stocking_priority,access
39,PIICEJLVQHRZGT-UHFFFAOYSA-N,"1,2-Ethanediamine",NCCN,14.2,293.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
40,QWVGKYWNOKOFNN-UHFFFAOYSA-N,o-Cresol,Cc1ccccc1O,11.5,298.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
41,RJQQOKKINHMXIM-UHFFFAOYSA-N,triethanolamine lactate,CC(O)C(=O)O.OCCN(CCO)CCO,59.7,298.15,1,1,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
42,RLSSMJSEOOYNOY-UHFFFAOYSA-N,m-Cresol,Cc1cccc(O)c1,11.8,298.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
43,ROSDSFDQCJNGOL-UHFFFAOYSA-N,Dimethylamine,CNC,5.26,298.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
44,SVTBMSDMJJWYQN-UHFFFAOYSA-N,"2-Methyl-2,4-pentanediol",CC(O)CC(C)(C)O,24.4,303.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
45,SWXVUIWOUIDPGS-UHFFFAOYSA-N,4-Hydroxy-4-methyl-2-pentanone (Diacetone alcohol),CC(=O)CC(C)(C)O,18.2,298.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
46,UEEJHVSXFDXPFK-UHFFFAOYSA-N,"2-(N,N-dimethylamino)ethanol",CN(C)CCO,17.18,303.15,2,1,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
47,WVDDGKGOMKODPV-UHFFFAOYSA-N,Benzyl alcohol,OCc1ccccc1,13.1,293.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
48,XCIXKGXIYUWCLL-UHFFFAOYSA-N,Cyclopentanol,OC1CCCC1,18.0,293.15,0,0,alcohol_amine,false,,true,no,P3,public_local_metadata_only_not_yet_probed
