representation,arm,repeat,inchikey,name,target,prediction
Morgan,baseline_v0.3,0,QARVLSVVCXYDNA-UHFFFAOYSA-N,Bromobenzene,5.4,8.54585170746
Morgan,baseline_v0.3,0,PYLWMHQQBFSUBP-UHFFFAOYSA-N,Fluorobenzene,5.42,8.54585170746
Morgan,baseline_v0.3,0,SNHMUERNLJLMHN-UHFFFAOYSA-N,Iodobenzene,4.63,7.69539403915
Morgan,baseline_v0.3,0,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,Aniline,6.89,8.54585170746
Morgan,baseline_v0.3,0,ZMANZCXQSJIPKH-UHFFFAOYSA-N,Triethylamine,2.42,9.55365467072
Morgan,baseline_v0.3,0,IBSQPLPBRSHTTG-UHFFFAOYSA-N,o-Chlorotoluene,4.45,7.64010190964
Morgan,baseline_v0.3,0,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,m-Chlorotoluene,5.55,7.64010190964
Morgan,baseline_v0.3,0,NPDACUSDTOMAMK-UHFFFAOYSA-N,p-Chlorotoluene,6.08,7.3946480751
Morgan,baseline_v0.3,0,MMZYCBHLNZVROM-UHFFFAOYSA-N,o-Fluorotoluene,4.22,8.19663333893
Morgan,baseline_v0.3,0,BTQZKHUEUDPRST-UHFFFAOYSA-N,m-Fluorotoluene,5.42,7.3946480751
Morgan,baseline_v0.3,0,WRWPPGUCZBJXKX-UHFFFAOYSA-N,p-Fluorotoluene,5.86,6.70619010925
Morgan,baseline_v0.3,0,QQONPFPTGQHPMA-UHFFFAOYSA-N,Propene,1.875,7.71351623535
Morgan,baseline_v0.3,0,PMJHHCWVYXUKFD-SNAWJCMRSA-N,"1,3-Pentadiene",2.32,7.88966751099
Morgan,baseline_v0.3,0,RRHGJUQNOFWUDK-UHFFFAOYSA-N,"2-Methyl-1,3-butadiene (Isoprene)",2.1,8.71251392365
Morgan,baseline_v0.3,0,APPOKADJQUIAHP-UHFFFAOYSA-N,"2,4-Hexadiene",2.22,8.57398605347
Morgan,baseline_v0.3,0,RCJMVGJKROQDCB-UHFFFAOYSA-N,"2-Methyl-1,3-pentadiene",2.42,8.34511756897
Morgan,baseline_v0.3,0,BOGRNZQRTNVZCZ-AATRIKPKSA-N,"3-Methyl-1,3-pentadiene",2.43,7.88966751099
