representation,arm,repeat,inchikey,name,target,prediction
Morgan,baseline_v0.3,0,LVTYICIALWPMFW-UHFFFAOYSA-N,N-(2-hydroxypropyl)-2-hydroxy-1-propanamine,13.87,19.7116413116
Morgan,baseline_v0.3,0,LYCAIKOWRPUZTN-UHFFFAOYSA-N,"1,2-ethanediol",39.84,23.2082633972
Morgan,baseline_v0.3,0,LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,60.9,20.9263916016
Morgan,baseline_v0.3,0,MCTWTZJPVLRJOU-UHFFFAOYSA-N,1-methylimidazole,39.78,9.06539344788
Morgan,baseline_v0.3,0,MTHSVFCYNBDYFN-UHFFFAOYSA-N,diethylene glycol,30.95,23.5599861145
Morgan,baseline_v0.3,0,MWKFXSUHUHTGQN-UHFFFAOYSA-N,decan-1-ol,7.74,14.360830307
Morgan,baseline_v0.3,0,NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,85.6,26.8934879303
Morgan,baseline_v0.3,0,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,178.47,6.37013053894
Morgan,baseline_v0.3,0,OIFBSDVPJOWBCH-UHFFFAOYSA-N,diethyl carbonate,2.834,8.17306137085
Morgan,baseline_v0.3,0,OKKJLVBELUTLKV-UHFFFAOYSA-N,methanol,33.6,8.16197109222
Morgan,baseline_v0.3,0,OOKUTCYPKPJYFV-UHFFFAOYSA-N,1-methylimidazolium bromide,16.6,18.3906021118
Morgan,baseline_v0.3,0,PEDCQBHIVMGVHV-UHFFFAOYSA-N,glycerol,41.17,33.2160987854
Morgan,baseline_v0.3,0,QRCRANRUHQKZME-UHFFFAOYSA-N,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",12,9.23590946198
Morgan,baseline_v0.3,0,QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic acid,6.15,16.2810916901
Morgan,baseline_v0.3,0,RJQQOKKINHMXIM-UHFFFAOYSA-N,triethanolamine lactate,59.7,31.9342498779
Morgan,baseline_v0.3,0,RYHBNJHYFVUHQT-UHFFFAOYSA-N,"1,4-dioxane",2.228,9.05260944366
Morgan,baseline_v0.3,0,SBZXBUIDTXKZTM-UHFFFAOYSA-N,"2,5,8-trioxanonane",7.3815,7.11037921906
Morgan,baseline_v0.3,0,SHQSVMDWKBRBGB-UHFFFAOYSA-N,cyclobutanone,14.96,16.5368232727
Morgan,baseline_v0.3,0,SIXHYMZEOJSYQH-UHFFFAOYSA-M,1-butyl-3-methylimidazolium thiocyanate,13.7,24.5845947266
Morgan,baseline_v0.3,0,STCBHSHARMAIOM-UHFFFAOYSA-N,1-methylimidazolium chloride,13.8,9.06539344788
Morgan,baseline_v0.3,0,TVMXDCGIABBOFY-UHFFFAOYSA-N,octane,1.961,5.50897026062
Morgan,baseline_v0.3,0,UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,2.01,7.13107395172
Morgan,baseline_v0.3,0,UCCKRVYTJPMHRO-UHFFFAOYSA-N,"1-butyl-2,3-dimethyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide",14,14.58705616
Morgan,baseline_v0.3,0,UEEJHVSXFDXPFK-UHFFFAOYSA-N,"2-(N,N-dimethylamino)ethanol",17.18,29.8945140839
Morgan,baseline_v0.3,0,UODQEMVTULZGKO-UHFFFAOYSA-N,"1-pentyl-1-methylpyrrolidinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",12.5,11.4592876434
Morgan,baseline_v0.3,0,UPCXAARSWVHVLY-UHFFFAOYSA-N,triethanolammonium acetate,31,50.4008560181
Morgan,baseline_v0.3,0,UWHCKJMYHZGTIT-UHFFFAOYSA-N,tetraethylene glycol,19.91,20.0705776215
Morgan,baseline_v0.3,0,VCAIYEJBOWHUGP-UHFFFAOYSA-N,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",13.3,8.9139509201
Morgan,baseline_v0.3,0,VFTFKUDGYRBSAL-UHFFFAOYSA-N,"1,4,7,10,13-pentaoxacyclopentadecane",15.48,9.05260944366
Morgan,baseline_v0.3,0,VRFOKYHDLYBVAL-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium ethyl sulfate,35,11.9066562653
Morgan,baseline_v0.3,0,VVLAIYIMMFWRFW-UHFFFAOYSA-N,2-hydroxyethylammonium acetate,58.3,24.0118560791
Morgan,baseline_v0.3,0,WYJOVVXUZNRJQY-UHFFFAOYSA-N,2-acetylthiophene,29.19,15.4845018387
Morgan,baseline_v0.3,0,WZLFPVPRZGTCKP-UHFFFAOYSA-N,"1,1,1,3,3-pentafluorobutane",11.8861,7.81664562225
Morgan,baseline_v0.3,0,XDJYSDBSJWNTQT-UHFFFAOYSA-N,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",12.8,19.138261795
Morgan,baseline_v0.3,0,XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,2.02,9.09452056885
Morgan,baseline_v0.3,0,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,78.87,16.1057777405
Morgan,baseline_v0.3,0,XQQZRZQVBFHBHL-UHFFFAOYSA-N,"1,4,7,10-tetraoxacyclododecane",10.76,9.05260944366
Morgan,baseline_v0.3,0,XTHFKEDIFFGKHM-UHFFFAOYSA-N,"1,2-dimethoxyethane",7.0695,7.21347379684
Morgan,baseline_v0.3,0,YEJRWHAVMIAJKC-UHFFFAOYSA-N,.gamma.-butyrolactone,41.99,17.2477207184
Morgan,baseline_v0.3,0,YEYKMVJDLWJFOA-UHFFFAOYSA-N,2-propoxyethanol,11.5,14.9432754517
Morgan,baseline_v0.3,0,YFMFNYKEUDLDTL-UHFFFAOYSA-N,"1,1,1,2,3,3,3-heptafluoropropane",4.1348,9.64748001099
Morgan,baseline_v0.3,0,YFNKIDBQEZZDLK-UHFFFAOYSA-N,"2,5,8,11-tetraoxadodecane",7.604,7.54226064682
Morgan,baseline_v0.3,0,YIWUKEYIRIRTPP-UHFFFAOYSA-N,2-ethyl-1-hexanol,7.353,15.015745163
Morgan,baseline_v0.3,0,YXFVVABEGXRONW-UHFFFAOYSA-N,toluene,2.40445,7.64010190964
Morgan,baseline_v0.3,0,ZBCBWPMODOFKDW-UHFFFAOYSA-N,diethanolamine,24.69,25.9082355499
Morgan,baseline_v0.3,0,ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,106.14,8.78030586243
Morgan,baseline_v0.3,0,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,triethylene glycol,23.07,20.0705776215
Morgan,baseline_v0.3,0,ZMXDDKWLCZADIW-UHFFFAOYSA-N,dimethylformamide,36.55,16.3351593018
Morgan,baseline_v0.3,0,ZPTRYWVRCNOTAS-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,16.5,22.5139541626
Morgan,baseline_v0.3,0,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,hexan-1-ol,14.26,15.1388816833
Morgan,baseline_v0.3,0,ZTOMUSMDRMJOTH-UHFFFAOYSA-N,pentanedinitrile,34.6,28.3107318878
Morgan,baseline_v0.3,0,ZUHZGEOKBKGPSW-UHFFFAOYSA-N,"2,5,8,11,14-pentaoxapentadecane",7.798,7.11037921906
Morgan,baseline_v0.3,0,ZXEKIIBDNHEJCQ-UHFFFAOYSA-N,2-methyl-1-propanol,17.96,19.8841190338
Morgan,baseline_v0.3,0,HXDLWJWIAHWIKI-UHFFFAOYSA-N,beta-Hydroxyethyl acetate (Glycol monoacetate),13,35.5957641602
Morgan,baseline_v0.3,0,IYXGSMUGOJNHAZ-UHFFFAOYSA-N,Diethyl malonate,8.03,13.9836826324
Morgan,baseline_v0.3,0,SVONRAPFKPVNKG-UHFFFAOYSA-N,"beta-Ethoxyethyl acetate (""Cellosolve"" acetate)",7.57,11.3974533081
Morgan,baseline_v0.3,0,KXKVLQRXCPHEJC-UHFFFAOYSA-N,Methyl acetate,6.68,13.8933496475
Morgan,baseline_v0.3,0,XEKOWRVHYACXOJ-UHFFFAOYSA-N,Ethyl acetate,6.02,10.2997026443
Morgan,baseline_v0.3,0,DIQMPQMYFZXDAX-UHFFFAOYSA-N,Amyl formate,6.49,9.01937294006
