repeat,representation,arm,fold,mae,rmse,r2,spearman,train_count,test_count
2,Morgan,augmented_pc_ec_train_only,2,8.11543939509,25.8785649675,0.000386829034255,0.730200956918,189,47
2,Physical,baseline_v0.3,2,7.17815959255,24.3821306416,0.112650114125,0.841129871632,187,47
2,Physical,augmented_pc_ec_train_only,2,7.28138939902,24.0742635769,0.134917329757,0.817311862494,189,47
2,Morgan+Physical,baseline_v0.3,2,7.11814288732,24.934572691,0.0719840299435,0.820347509667,187,47
2,Morgan+Physical,augmented_pc_ec_train_only,2,7.18878252176,24.7448475692,0.0860526969248,0.812142238999,189,47
2,Morgan,baseline_v0.3,3,9.00757186666,17.2518003955,0.23575773548,0.773341051887,187,47
2,Morgan,augmented_pc_ec_train_only,3,9.14424826947,17.2595286669,0.235072868467,0.755725202213,189,47
2,Physical,baseline_v0.3,3,7.34318318468,13.4881605964,0.532837839064,0.864791420095,187,47
2,Physical,augmented_pc_ec_train_only,3,6.94217213659,12.7058112409,0.58545946797,0.86261925412,189,47
2,Morgan+Physical,baseline_v0.3,3,7.78978345242,14.80610705,0.437083508277,0.884218438692,187,47
2,Morgan+Physical,augmented_pc_ec_train_only,3,7.31831092023,14.1008704586,0.489431463764,0.884680986753,189,47
2,Morgan,baseline_v0.3,4,5.25696699713,10.0067040451,0.368762867959,0.728540686257,188,46
2,Morgan,augmented_pc_ec_train_only,4,5.45397203062,9.89377118699,0.382930399701,0.724709299212,190,46
2,Physical,baseline_v0.3,4,4.0206883334,6.34030604124,0.746585844837,0.778747417805,188,46
2,Physical,augmented_pc_ec_train_only,4,4.30146632412,7.16280609199,0.676572595362,0.780560009868,190,46
2,Morgan+Physical,baseline_v0.3,4,4.2522550528,7.65948437971,0.630163733031,0.836473527179,188,46
2,Morgan+Physical,augmented_pc_ec_train_only,4,4.5295238129,8.04348829147,0.592151100227,0.83795368383,190,46
3,Morgan,baseline_v0.3,0,7.54682740021,15.8478033643,0.0994621165246,0.678689229287,187,47
3,Morgan,augmented_pc_ec_train_only,0,8.12139946625,16.4536527599,0.0292922551129,0.609843562084,189,47
3,Physical,baseline_v0.3,0,10.8601599479,20.9467130364,-0.573242266105,0.604846172651,187,47
3,Physical,augmented_pc_ec_train_only,0,11.4047646857,21.1780471327,-0.608183716551,0.587214849755,189,47
3,Morgan+Physical,baseline_v0.3,0,8.62472208786,15.242254122,0.166966943656,0.620330751586,187,47
3,Morgan+Physical,augmented_pc_ec_train_only,0,9.1483064602,16.3811451979,0.0378287874514,0.598878224663,189,47
3,Morgan,baseline_v0.3,1,5.60510743417,8.11653574403,0.43251748155,0.686051799515,187,47
3,Morgan,augmented_pc_ec_train_only,1,5.70531139487,8.20037614977,0.420733218829,0.684623382601,189,47
3,Physical,baseline_v0.3,1,6.73606193364,9.72310406836,0.185631541504,0.781914893617,187,47
3,Physical,augmented_pc_ec_train_only,1,6.90532149106,9.93601931935,0.149575172011,0.772086031452,189,47
3,Morgan+Physical,baseline_v0.3,1,5.93976114427,7.87437312215,0.465874815634,0.832215541166,187,47
