Index,Solvent Name,CANON_SMILES,Temperature (K),Inverse temperature (1/K),EdgePool_log(Viscosity)_pred,is_within_training
90,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,325,0.003076923076923,-0.26449198,False
91,FDMB (C6H10F4O2),COCC(F)(F)C(F)(F)COC,330,0.003030303030303,-0.2928098,False
92,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,270,0.0037037037037037,-0.19180608,False
93,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,275,0.0036363636363636,-0.21307324,False
94,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,280,0.0035714285714285,-0.23520142,False
95,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,285,0.0035087719298245,-0.25869355,False
96,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,290,0.0034482758620689,-0.27123275,False
97,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,295,0.0033898305084745,-0.30552748,False
98,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,300,0.0033333333333333,-0.3533345,False
99,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,305,0.0032786885245901,-0.34578228,False
100,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,310,0.0032258064516129,-0.36472052,False
101,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,315,0.0031746031746031,-0.39409256,False
102,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,320,0.003125,-0.42161962,False
103,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,325,0.003076923076923,-0.45116517,False
104,BTFE (CF3CH2)2O,FC(F)(F)COCC(F)(F)F,330,0.003030303030303,-0.492749,False
105,FEMC  (C4H5F3O3),COC(=O)OCCF,270,0.0037037037037037,0.32653782,False
106,FEMC  (C4H5F3O3),COC(=O)OCCF,275,0.0036363636363636,0.30461034,False
107,FEMC  (C4H5F3O3),COC(=O)OCCF,280,0.0035714285714285,0.28713122,False
108,FEMC  (C4H5F3O3),COC(=O)OCCF,285,0.0035087719298245,0.27228585,False
109,FEMC  (C4H5F3O3),COC(=O)OCCF,290,0.0034482758620689,0.24832183,False
110,FEMC  (C4H5F3O3),COC(=O)OCCF,295,0.0033898305084745,0.22272156,False
111,FEMC  (C4H5F3O3),COC(=O)OCCF,300,0.0033333333333333,0.16766605,False
112,FEMC  (C4H5F3O3),COC(=O)OCCF,305,0.0032786885245901,0.11233031,False
113,FEMC  (C4H5F3O3),COC(=O)OCCF,310,0.0032258064516129,0.0795189,False
114,FEMC  (C4H5F3O3),COC(=O)OCCF,315,0.0031746031746031,0.04854475,False
115,FEMC  (C4H5F3O3),COC(=O)OCCF,320,0.003125,-0.0063144024,False
116,FEMC  (C4H5F3O3),COC(=O)OCCF,325,0.003076923076923,-0.047540635,False
117,FEMC  (C4H5F3O3),COC(=O)OCCF,330,0.003030303030303,-0.090209216,False
118,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,270,0.0037037037037037,-0.021195328,False
119,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,275,0.0036363636363636,-0.041849785,False
120,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,280,0.0035714285714285,-0.08678113,False
121,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,285,0.0035087719298245,-0.116161615,False
122,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,290,0.0034482758620689,-0.13672131,False
123,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,295,0.0033898305084745,-0.17739555,False
124,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,300,0.0033333333333333,-0.25711817,False
125,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,305,0.0032786885245901,-0.31603792,False
126,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,310,0.0032258064516129,-0.37428027,False
127,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,315,0.0031746031746031,-0.43880904,False
128,D2 (C4H3F7O1),FC(F)C(F)(F)OCC(F)(F)F,320,0.003125,-0.47818258,False
