inchikey,name,smiles,canonical_smiles,structure_check,in_epsilon_roster,epsilon,in_anchor_roster,themol_uuid,themol_h5_file,natoms,geometry_sha256,source_dataset,source_level,source_license,xtb_version,unit_check,homo_gfn2_eV,lumo_gfn2_eV,gap_gfn2_eV,batt_homo_eV,batt_lumo_eV,batt_gap_eV,pubchemqc_homo_eV,pubchemqc_lumo_eV,gfn2_minus_batt_homo_eV,gfn2_minus_batt_lumo_eV,gfn2_minus_batt_gap_eV,gfn2_minus_pubchemqc_homo_eV,gfn2_minus_pubchemqc_lumo_eV,calib_homo_eV,calib_lumo_eV,calibration_id,role
FGLBSLMDCBOPQK-UHFFFAOYSA-N,CompMol159,CC(C)[N+](=O)[O-],CC(C)[N+](=O)[O-],inchikey_match,false,,true,0e4e79fbef6a53329c4e6539ffeb6993,hessian_47.h5,13,0c032d7c0b60693cfdbb06e17ed29eb79f88810f9407f514b7ee9377e3158700,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.9184,-8.6816,3.2368000000000006,-11.1216001511,0.587199985981,11.708800137081,-7.850485,-1.594587,-0.7967998488999992,-9.268799985981,-8.472000137081,-4.067915,-7.087013,,,,paired_anchor
FOTXAJDDGPYIFU-UHFFFAOYSA-N,Ethylcyclopropane,CCC1CC1,CCC1CC1,inchikey_match,true,1.933,false,90e831e7bb4b5d11af6716675213b6ba,hessian_32.h5,15,21a9929007fecd72ae65a4a88f29bac1b450b76425490d5e1efb327f7904fb36,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.9675,-1.5377,9.4298,,,,-7.371564,2.737465,,,,-3.595935999999999,-4.275164999999999,,,,uncalibrated_reference
FVSKHRXBFJPNKK-UHFFFAOYSA-N,Propionitrile,CCC#N,CCC#N,inchikey_match,true,27.2,true,f6b623ab680c55dda97972e91ef6e7d3,hessian_30.h5,9,f5988cf65252a2c7109d1dbe3c685ec270da6ebd75ae21d92ca63e1aab752efe,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.5773,-5.8636,5.713699999999999,-11.8702001572,1.76709997654,13.637300133739998,-8.767508,0.897976,0.29290015720000007,-7.63069997654,-7.923600133739999,-2.809792,-6.761576,,,,paired_anchor
FXHOOIRPVKKKFG-UHFFFAOYSA-N,"N,N-dimethylethanamide",CC(=O)N(C)C,CC(=O)N(C)C,inchikey_match,true,37.72,true,271de4646e72541991d6a648b844ca40,hessian_40.h5,15,91411eb6b1c9feed3e56a0d1494f79488837f51ff72776146edd21abf6ace447,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-10.4895,-5.6123,4.877199999999999,-9.13070011139,1.62969994545,10.76040005684,-6.277667,0.868043,-1.3587998886099992,-7.241999945450001,-5.883200056840001,-4.2118329999999995,-6.480343,,,,paired_anchor
FYIRUPZTYPILDH-UHFFFAOYSA-N,"1,1,1,2,3,3-hexafluoropropane",FC(F)C(F)C(F)(F)F,FC(F)C(F)C(F)(F)F,inchikey_match,true,5.3105,false,7d1dfdfadef254a5b6bb9982077f5a5f,hessian_5.h5,11,e3ae5b53c8d4a35212103c64f2417b3f3c0c0c7ad86d0236ba79fff24fc6ea2c,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-13.9638,-2.9881,10.9757,,,,-9.60834,0.832668,,,,-4.355460000000001,-3.820768,,,,uncalibrated_reference
GAEKPEKOJKCEMS-UHFFFAOYSA-N,gamma-valerolactone,CC1CCC(=O)O1,CC1CCC(=O)O1,inchikey_match,true,36.9,true,6733fe8bc8bd5966b9e1e706385762d0,hessian_4.h5,15,b0d3f819e2778ea859cfbe3a181340e87faf6e03ac313b63f198d511499acfc8,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.3586,-6.4219,4.936699999999999,-10.3297996521,1.64530003071,11.97509968281,-7.19469,0.28572,-1.028800347899999,-8.06720003071,-7.0383996828100015,-4.16391,-6.70762,,,,paired_anchor
GDOPTJXRTPNYNR-UHFFFAOYSA-N,Methylcyclopentane,CC1CCCC1,CC1CCCC1,inchikey_match,true,1.985,false,2c0609e531c85665b9ec1a5ce37d8671,hessian_23.h5,18,0bb10f7ba14347025f43b5ee5387ef698d81ecd4e54b6d08e024e07983e127b1,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.2641,1.3484,12.612499999999999,,,,-8.310357,2.166026,,,,-2.9537429999999993,-0.817626,,,,uncalibrated_reference
GETQZCLCWQTVFV-UHFFFAOYSA-N,Trimethylamine,CN(C)C,CN(C)C,inchikey_match,true,2.44,true,5fd9efe77436557f9b06e62d7ce02a1a,hessian_12.h5,13,fec708b508cb816b0c72633ee8f41c0417aa5232cdcd0d3dc4f99c3da82b4449,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-9.4524,1.0362,10.488600000000002,-8.65760040283,1.92990005016,10.587500452990001,-5.787862,2.29392,-0.7947995971699999,-0.8937000501600001,-0.09890045298999972,-3.664538000000001,-1.25772,,,,paired_anchor
GETTZEONDQJALK-UHFFFAOYSA-N,"alpha,alpha,alpha-Trifluorotoluene",FC(F)(F)c1ccccc1,FC(F)(F)c1ccccc1,inchikey_match,true,9.18,false,5b120a416dff52cf933530bdbc016973,hessian_36.h5,15,ba4e655de3ca36603baeaa246493e8c2cc4a615d04364c09598f86b63d55e9b4,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.8317,-7.2729,4.5588,,,,-7.306257,-0.862601,,,,-4.525443,-6.410299,,,,uncalibrated_reference
GJRQTCIYDGXPES-UHFFFAOYSA-N,Isobutyl acetate,CC(=O)OCC(C)C,CC(=O)OCC(C)C,inchikey_match,true,5.29,true,733d3a21f0515b41a3d1aa887011a470,hessian_13.h5,20,d72becc56a8f0ef24d4abdc3ced941768b88a5d1f0c609e1ea4ba5647a56d9c4,ByteDance-Seed/THEMol (Hessian subset) + GFN2-xTB 6.7.1,GFN2-xTB//B3LYP-D3(BJ)/DZVP (gas-phase single point on the DFT geometry),THEMol CC BY-NC 4.0; derived values non-commercial,6.7.1pre,pipeline_audited_eV,-11.3201,-6.3354,4.9847,-10.4533996582,1.60780000687,12.061199665070001,-7.306257,0.312931,-0.8667003417999997,-7.94320000687,-7.076499665070001,-4.0138430000000005,-6.648331,,,,paired_anchor
