representation,repeat,fold,seed,train_count,test_count,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,model_params
Morgan+Physical,1,2,49,189,47,6.56632870173,9.16616014667,0.476516087336,0.702147957855,0.858823529412,0.864285714286,6.24916834504,6.28147678375,20.7680038452,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":49,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,1,3,50,189,47,7.12969188723,11.2044067675,0.49488570269,0.727730553432,0.84375,0.878571428571,4.33470661202,17.9114654432,40.6617027283,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":50,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,1,3,50,189,47,5.88094276534,10.8399601482,0.527211071161,0.790678849477,0.880208333333,0.982142857143,2.60013963704,18.3117920126,46.8163200378,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":50,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,1,3,50,189,47,5.88889468327,9.82119966866,0.611902354397,0.820352703093,0.8875,0.982142857143,3.01610286361,16.4872895786,43.7390113831,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":50,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,1,4,51,189,47,13.070934433,32.0820495944,-0.00993940904875,0.608368778014,0.864583333333,0.710526315789,3.53068271047,11.5833830769,95.496889534,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":51,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,1,4,51,189,47,10.6708154598,29.3984466616,0.151953090987,0.848660056439,0.972916666667,0.944444444444,2.6980176952,7.68421725769,83.9128925228,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":51,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,1,4,51,189,47,10.9414738547,30.386816816,0.0939722009457,0.844208031343,0.966666666667,0.90350877193,2.53959874402,7.16229480286,89.7048911476,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":51,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,2,0,52,188,48,8.00419451528,14.0806390934,0.495093519543,0.771143937321,0.897707231041,0.897435897436,3.42566211936,12.8365027409,45.3127117157,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":52,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,2,0,52,188,48,8.40852848796,13.0398957636,0.56697352429,0.803441538476,0.92151675485,0.940170940171,4.97117376774,12.0204684629,36.4712003072,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":52,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,2,0,52,188,48,7.13940918578,12.4868977866,0.602922458505,0.855832383434,0.94532627866,0.97150997151,3.48312049393,9.81065546417,40.8919563293,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":52,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,2,1,53,189,47,6.94666849778,9.68306842564,0.423896422746,0.696627970801,0.827067669173,0.857142857143,5.59909117575,9.8569882679,17.8404602051,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":53,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,2,1,53,189,47,6.8864247863,10.1648935586,0.365136672708,0.755225347949,0.830827067669,0.928571428571,5.72759180871,7.57477630615,38.0265277863,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":53,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,2,1,53,189,47,6.23693147814,8.55437118247,0.550374688315,0.753122109158,0.830827067669,0.942857142857,5.08263744511,7.69938444138,27.933493042,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":53,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,2,2,54,189,47,8.61330881115,25.8007173161,0.00902363601864,0.681720937801,0.833333333333,0.78488372093,4.66296818949,7.18754081154,170.132396431,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":54,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,2,2,54,189,47,7.01299067335,24.0328749813,0.140172779863,0.878205313888,0.945238095238,0.959302325581,2.60548853568,8.68523087406,161.120150299,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":54,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan+Physical,2,2,54,189,47,7.15578644063,24.6299159024,0.0969213124475,0.829902867715,0.902380952381,0.883720930233,3.06067235691,6.79876753235,165.626272888,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":54,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Morgan,2,3,55,189,47,8.77190074158,16.9750457603,0.257894065274,0.764176886006,0.941176470588,0.893243243243,4.39281645337,13.8080145041,97.2274013901,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":55,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
Physical,2,3,55,189,47,6.54444693557,11.4988892111,0.659469687709,0.874125469789,0.945098039216,0.956756756757,3.76275644431,10.5423451614,53.147144928,"{""colsample_bytree"":0.8,""learning_rate"":0.05,""max_bin"":64,""max_depth"":2,""n_estimators"":200,""n_jobs"":1,""objective"":""reg:squarederror"",""random_state"":55,""reg_lambda"":1.0,""subsample"":0.8,""tree_method"":""hist""}"
