dataset,train_size,run,n_train_pool,n_test,train_id_hash,test_id_hash,mae,rmse,r2
v0.1,80,1,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486301,21.082091324763095,0.23125739922743604
v0.1,80,2,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.53450142648635,21.082091324762967,0.23125739922744515
v0.1,80,3,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486296,21.0820913247631,0.2312573992274355
v0.1,80,4,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486477,21.082091324763162,0.23125739922743116
v0.1,80,5,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486282,21.08209132476309,0.23125739922743616
v0.1,80,6,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486484,21.082091324763137,0.23125739922743282
v0.1,80,7,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486422,21.082091324763105,0.23125739922743505
v0.1,80,8,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486326,21.08209132476306,0.23125739922743838
v0.1,80,9,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486326,21.08209132476301,0.23125739922744215
v0.2,20,0,190,20,befc21d49f840dfaf54328a1b32ae5ae549a34538fb6b4798c4619c725f08e0b,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.629181999485063,25.451725746479454,-0.12043853709233154
v0.2,20,1,190,20,23abaeaf5dc5d1cece9a9709e6c706b8caab68c52e98230f631636f6500ae97a,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.150648298625008,25.6188589103994,-0.13520195904364973
v0.2,20,2,190,20,3e4bd4fc099797fd76040d7062d5ffa6707935e99565d009a84e9f8e6f5c97c1,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.96896131869187,27.905803925436164,-0.346922615224047
v0.2,20,3,190,20,f1ec4142dc6090657d454e336c6b5566eea4b468e3f568e67a988be87e094692,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.268612686961777,26.846380525241578,-0.2465940549193828
v0.2,20,4,190,20,11339e8ae936c2ec3fec17e295c4844f8b2d31a41995af85a4e5b419294d35c4,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,15.913589050493039,25.12402179797061,-0.09177184689822249
