representation,arm,repeat,split,calibration_count,test_count,infinite_interval_count,infinite_interval_rate,quantile_abs_error_median,normalized_quantile_median,interval_width,coverage,coverage_lt20,coverage_20_60,coverage_gt60,normalized_interval_width,normalized_coverage,normalized_coverage_lt20,normalized_coverage_20_60,normalized_coverage_gt60,fold0_calibration_count,fold0_test_count,fold0_quantile,fold0_coverage,fold0_normalized_quantile,fold0_normalized_coverage,fold1_calibration_count,fold1_test_count,fold1_quantile,fold1_coverage,fold1_normalized_quantile,fold1_normalized_coverage,fold2_calibration_count,fold2_test_count,fold2_quantile,fold2_coverage,fold2_normalized_quantile,fold2_normalized_coverage,fold3_calibration_count,fold3_test_count,fold3_quantile,fold3_coverage,fold3_normalized_quantile,fold3_normalized_coverage,fold4_calibration_count,fold4_test_count,fold4_quantile,fold4_coverage,fold4_normalized_quantile,fold4_normalized_coverage
Morgan,baseline_v0.3,0,10,117,117,0,0,16.8265720367,0.781731804868,49.3367821483,0.91452991453,0.977777777778,0.76,0,40.1165180888,0.897435897436,0.955555555556,0.76,0,20,27,13.0367311096,0.851851851852,0.781731804868,0.851851851852,25,22,62.8265372467,1,3.68625426394,1,24,23,13.9314105988,0.913043478261,0.658993202918,0.826086956522,25,22,20.2087543488,0.909090909091,1.16535771162,0.909090909091,23,23,16.8265720367,0.913043478261,0.715388391447,0.913043478261
Morgan,baseline_v0.3,0,11,117,117,0,0,13.7409577942,0.799778333594,37.9691705127,0.888888888889,0.977528089888,0.68,0,28.9723168237,0.897435897436,1,0.64,0,24,23,13.7409577942,0.913043478261,0.799778333594,0.869565217391,23,24,10.5515864563,0.708333333333,0.72183571666,0.75,18,29,33.5391887665,1,1.52233008401,1,29,18,20.2087543488,0.944444444444,1.16535771162,0.944444444444,23,23,13.7183616638,0.869565217391,0.715388391447,0.913043478261
Morgan,baseline_v0.3,0,12,117,117,0,0,15.3037826538,0.855140634345,47.27342179,0.905982905983,0.977528089888,0.703703703704,0,43.7456761873,0.905982905983,0.955056179775,0.777777777778,0,20,27,15.3037826538,1,0.855140634345,0.925925925926,25,22,62.8265372467,1,3.68625426394,1,27,20,27.1593532562,1,1.18258918937,1,23,24,9.6508546066,0.833333333333,0.720973170177,0.791666666667,22,24,8.1375686646,0.708333333333,0.663392428586,0.833333333333
Morgan,baseline_v0.3,0,13,117,117,0,0,21.0010305405,1.12323373199,42.9501110746,0.940170940171,0.978494623656,0.863636363636,0,50.7431762648,0.957264957265,0.989247311828,0.909090909091,0,24,23,15.1223162079,0.95652173913,1.12323373199,0.95652173913,20,27,27.569463253,0.925925925926,3.27019074591,0.962962962963,26,21,11.9777183533,0.809523809524,0.75997113812,0.904761904762,26,21,30.6588032532,1,3.02916779706,1,21,25,21.0010305405,1,0.742166403329,0.96
Morgan,baseline_v0.3,0,14,117,117,0,0,30.6588032532,1.03092354136,56.6072310325,0.91452991453,0.967391304348,0.75,0,47.6264446601,0.931623931624,0.967391304348,0.833333333333,0,21,26,13.4300689697,0.884615384615,0.799778333594,0.884615384615,28,19,62.8265372467,1,3.68625426394,1,22,25,6.126002388,0.72,0.658993202918,0.84,28,19,30.6588032532,1,3.02916779706,1,18,28,36.8917747498,1,1.03092354136,0.964285714286
Morgan,baseline_v0.3,0,15,117,117,0,0,20.2692386627,1.12323373199,40.5422967986,0.923076923077,0.988372093023,0.766666666667,0,44.5637131613,0.948717948718,1,0.833333333333,0,21,26,13.0367311096,0.846153846154,1.12323373199,0.961538461538,23,24,27.569463253,0.916666666667,3.27019074591,0.958333333333,26,21,20.2692386627,0.952380952381,0.850960811541,0.952380952381,21,26,20.2087543488,0.923076923077,1.16535771162,0.923076923077,26,20,21.0010305405,1,0.742166403329,0.95
Morgan,baseline_v0.3,0,16,117,117,0,0,15.1223162079,0.75997113812,36.9864733939,0.91452991453,0.988372093023,0.785714285714,0,38.5565591434,0.897435897436,0.988372093023,0.714285714286,0,23,24,15.1223162079,0.958333333333,1.12323373199,0.958333333333,22,25,16.9284820557,0.84,0.674057929078,0.72,27,20,13.9314105988,0.9,0.75997113812,0.9,21,26,30.6588032532,1,3.02916779706,1,24,22,13.7183616638,0.863636363636,0.715388391447,0.909090909091
Morgan,baseline_v0.3,0,17,117,117,0,0,19.6547820282,1.12323373199,44.4005723181,0.948717948718,1,0.894736842105,0,42.4307404764,0.957264957265,1,0.894736842105,0.25,25,22,15.3037826538,1,1.12323373199,0.954545454545,22,25,16.9284820557,0.84,1.12023147191,0.88,28,19,27.1593532562,1,1.18258918937,1,18,29,30.6588032532,0.965517241379,3.02916779706,0.965517241379,24,22,19.6547820282,0.954545454545,1.03092354136,1
Morgan,baseline_v0.3,0,18,117,117,0,0,15.1223162079,0.799778333594,55.0356111732,0.931623931624,0.976744186047,0.892857142857,0,58.9168316171,0.931623931624,0.976744186047,0.892857142857,0,27,20,15.1223162079,0.95,0.799778333594,0.85,19,28,62.8265372467,1,3.68625426394,1,23,24,13.9314105988,0.916666666667,0.75997113812,0.916666666667,23,24,25.732106781,0.958333333333,2.90171590315,0.958333333333,25,21,9.8128318787,0.809523809524,0.715388391447,0.904761904762
Morgan,baseline_v0.3,0,19,117,117,0,0,16.8265720367,0.920379415243,35.885580164,0.905982905983,0.988764044944,0.72,0,34.3565234277,0.897435897436,0.966292134831,0.76,0,22,25,13.7409577942,0.92,1.12323373199,0.96,23,24,19.4104175568,0.875,0.920379415243,0.833333333333,20,27,11.9777183533,0.851851851852,0.583930612933,0.814814814815,27,20,30.6588032532,1,3.02916779706,1,25,21,16.8265720367,0.904761904762,0.715388391447,0.904761904762
