selection_rank,selected_for_v02,selection_eligible,selection_exclusion,source_id,source_page,compound_name,formula,dielectric,t_C,T_K,source_quality,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,smiles,inchikey,molecular_formula,formula_match,resolution_source,resolved_name,max_tanimoto_solvfunc,al_round1_hit,carbon_count,hetero_count,polar_group_bonus,hazard_flags,stability_flags,priority_score,notes
51,true,true,,nbs514:p32:014,32,3-Methylcyclohexanol,C7H14O,12.3,20,293.15,three_figures,430,alpha,20,232 [261],,CC1CCCC(O)C1,HTSABYAWKQAHBT-UHFFFAOYSA-N,C7H14O,true,pubchem,3-Methylcyclohexanol,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
52,true,true,,nbs514:p32:015,32,4-Methylcyclohexanol,C7H14O,13.3,20,293.15,three_figures,410,alpha,20,232 [261],,CC1CCC(O)CC1,MQWCXKGKQLNYQG-UHFFFAOYSA-N,C7H14O,true,pubchem,4-Methylcyclohexanol,0.000000,false,7,1,1,,,11.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
53,true,true,,nbs514:p13:004,13,Carbon disulfide,CS2,2.641,20,293.15,four_figures,268.000,a,"-90,130","16,146,188,196,204,240a,292 [80,200,207]",,S=C=S,QGJOPFRUJISHPQ-UHFFFAOYSA-N,CS2,true,pubchem,Carbon disulfide,0.000000,false,1,2,0,,,9.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
54,true,true,,nbs514:p27:002,27,"2,5-Dimethylpyrazine",C6H8N2,2.436,20,293.15,four_figures,130,a,20 to 50,153,,Cc1cnc(C)cn1,LCZUOKDVTBMCMX-UHFFFAOYSA-N,C6H8N2,true,pubchem,"2,5-Dimethylpyrazine",0.000000,false,6,2,0,,,9.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
55,true,true,,nbs514:p26:002,26,Chlorobenzene,C6H5Cl,5.621,25,298.15,four_figures,,,,"60,138,170,251",,Clc1ccccc1,MVPPADPHJFYWMZ-UHFFFAOYSA-N,C6H5Cl,true,pubchem,Chlorobenzene,0.000000,false,6,1,0,,,8.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
56,true,true,,nbs514:p23:012,23,1-Pentene,C5H10,2.100,20,293.15,four_figures,,,,248 [151],,C=CCCC,YWAKXRMUMFPDSH-UHFFFAOYSA-N,C5H10,true,pubchem,1-Pentene,0.000000,false,5,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
57,true,true,,nbs514:p23:013,23,2-Methyl-1-butene,C5H10,2.197,20,293.15,four_figures,,,,248,,C=C(C)CC,MHNNAWXXUZQSNM-UHFFFAOYSA-N,C5H10,true,pubchem,2-Methyl-1-butene,0.000000,false,5,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
58,true,true,,nbs514:p23:014,23,Cyclopentane,C5H10,1.965,20,293.15,four_figures,,,,248,,C1CCCC1,RGSFGYAAUTVSQA-UHFFFAOYSA-N,C5H10,true,pubchem,Cyclopentane,0.000000,false,5,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
59,true,true,,nbs514:p23:015,23,Ethylcyclopropane,C5H10,1.933,20,293.15,four_figures,,,,248,,CCC1CC1,FOTXAJDDGPYIFU-UHFFFAOYSA-N,C5H10,true,pubchem,Ethylcyclopropane,0.000000,false,5,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
60,true,true,,nbs514:p24:020,24,n-Pentane,C5H12,1.844,20,293.15,four_figures,160,a,-50 to 30,88,,CCCCC,OFBQJSOFQDEBGM-UHFFFAOYSA-N,C5H12,true,pubchem,n-Pentane,0.000000,false,5,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
61,true,true,,nbs514:p24:021,24,2-Methylbutane,C5H12,1.843,20,293.15,four_figures,,,,196,,CCC(C)C,QWTDNUCVQCZILF-UHFFFAOYSA-N,C5H12,true,pubchem,2-Methylbutane,0.000000,false,5,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
62,true,true,,nbs514:p26:008,26,Benzene,C6H6,2.284,20,293.15,four_figures,200,a,10 to 60,"12,77,138,190,250a,263,273,283a,292",,c1ccccc1,UHOVQNZJYSORNB-UHFFFAOYSA-N,C6H6,true,pubchem,Benzene,0.000000,false,6,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
63,true,true,,nbs514:p27:005,27,Cyclohexene,C6H10,2.220,25,298.15,four_figures,,,,271,,C1=CCCCC1,HGCIXCUEYOPUTN-UHFFFAOYSA-N,C6H10,true,pubchem,Cyclohexene,0.000000,false,6,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
64,true,true,,nbs514:p28:008,28,Methylcyclopentane,C6H12,1.985,20,293.15,four_figures,,,,248,,CC1CCCC1,GDOPTJXRTPNYNR-UHFFFAOYSA-N,C6H12,true,pubchem,Methylcyclopentane,0.000000,false,6,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
65,true,true,,nbs514:p28:009,28,Ethylcyclobutane,C6H12,1.965,20,293.15,four_figures,,,,248,,CCC1CCC1,NEZRFXZYPAIZAD-UHFFFAOYSA-N,C6H12,true,pubchem,Ethylcyclobutane,0.000000,false,6,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
66,true,true,,nbs514:p28:010,28,cis-3-Hexene,C6H12,2.062,25,298.15,four_figures,,,,239,,CC/C=C\CC,ZQDPJFUHLCOCRG-WAYWQWQTSA-N,C6H12,true,pubchem,cis-3-Hexene,0.000000,false,6,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
67,true,true,,nbs514:p28:011,28,trans-3-Hexene,C6H12,2.000,25,298.15,four_figures,,,,239,,CC/C=C/CC,ZQDPJFUHLCOCRG-AATRIKPKSA-N,C6H12,true,pubchem,trans-3-Hexene,0.000000,false,6,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
68,true,true,,nbs514:p29:007,29,n-Hexane,C6H14,1.890,20,293.15,four_figures,155,a,-10 to 50,"88 [35,116,207]",,CCCCCC,VLKZOEOYAKHREP-UHFFFAOYSA-N,C6H14,true,pubchem,n-Hexane,0.000000,false,6,0,0,,,8.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=four_figures;formula_match=true;manual_transcription_review_required=true
69,true,true,,nbs514:p19:009,19,"Hexachloro-1,3-butadiene",C4Cl6,2.55,25,298.15,three_figures,,,,279,,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,RWNKSTSCBHKHTB-UHFFFAOYSA-N,C4Cl6,true,pubchem,"Hexachloro-1,3-butadiene",0.000000,false,4,6,0,,,7.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
70,true,true,,nbs514:p22:016,22,Iron pentacarbonyl,C5FeO5,2.60,20,293.15,three_figures,,,,114,,[C]=O.[C]=O.[C]=O.[C]=O.[C]=O.[Fe],FYOFOKCECDGJBF-UHFFFAOYSA-N,C5FeO5,true,pubchem,Iron pentacarbonyl,0.000000,false,5,6,0,,,7.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
71,true,true,,nbs514:p14:003,14,Tetrachloroethylene,C2Cl4,2.30,25,298.15,three_figures,200.00,a,"25,90","100,196,279 [74]",,ClC(Cl)=C(Cl)Cl,CYTYCFOTNPOANT-UHFFFAOYSA-N,C2Cl4,true,pubchem,Tetrachloroethylene,0.000000,false,2,4,0,,,6.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
72,true,true,,nbs514:p29:016,29,Hexamethyldisiloxane,C6H18OSi2,2.17,20,293.15,three_figures,,,,266,,C[Si](C)(C)O[Si](C)(C)C,UQEAIHBTYFGYIE-UHFFFAOYSA-N,C6H18OSi2,true,pubchem,Hexamethyldisiloxane,0.000000,false,6,3,0,,,5.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
73,true,true,,nbs514:p30:003,30,"alpha,alpha,alpha-Trifluorotoluene",C7H5F3,9.18,30,303.15,three_figures,,,,255a,,FC(F)(F)c1ccccc1,GETTZEONDQJALK-UHFFFAOYSA-N,C7H5F3,true,pubchem,"alpha,alpha,alpha-Trifluorotoluene",0.000000,false,7,3,0,,,5.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
74,true,true,,nbs514:p14:017,14,"cis-1,2-Dichloroethylene",C2H2Cl2,9.20,25,298.15,three_figures,,,,"227 [45,48,49,148]",,Cl/C=C\Cl,KFUSEUYYWQURPO-UPHRSURJSA-N,C2H2Cl2,true,pubchem,"cis-1,2-Dichloroethylene",0.000000,false,2,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
75,true,true,,nbs514:p14:018,14,"trans-1,2-Dichloroethylene",C2H2Cl2,2.14,25,298.15,three_figures,,,,"196,227 [45,48,49,148]",,Cl/C=C/Cl,KFUSEUYYWQURPO-OWOJBTEDSA-N,C2H2Cl2,true,pubchem,"trans-1,2-Dichloroethylene",0.000000,false,2,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
76,true,true,,nbs514:p16:019,16,"1,2-Ethanediamine",C2H8N2,14.2,20,293.15,three_figures,10000,a,"10,27",199,,NCCN,PIICEJLVQHRZGT-UHFFFAOYSA-N,C2H8N2,true,pubchem,"1,2-Ethanediamine",0.000000,false,2,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
77,true,true,,nbs514:p17:017,17,Ethyl isothiocyanate,C3H5NS,19.5,21,294.15,three_figures,,,,"26 [17,18,22]",,CCN=C=S,HBNYJWAFDZLWRS-UHFFFAOYSA-N,C3H5NS,true,pubchem,Ethyl isothiocyanate,0.000000,false,3,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
78,true,true,,nbs514:p25:007,25,1-Bromo-2-chlorobenzene,C6H4BrCl,6.80,20,293.15,three_figures,,,,83,,Clc1ccccc1Br,QBELEDRHMPMKHP-UHFFFAOYSA-N,C6H4BrCl,true,pubchem,1-Bromo-2-chlorobenzene,0.000000,false,6,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
79,true,true,,nbs514:p25:008,25,1-Bromo-3-chlorobenzene,C6H4BrCl,4.58,20,293.15,three_figures,,,,83,,Clc1cccc(Br)c1,JRGGUPZKKTVKOV-UHFFFAOYSA-N,C6H4BrCl,true,pubchem,1-Bromo-3-chlorobenzene,0.000000,false,6,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
80,true,true,,nbs514:p25:009,25,o-Dibromobenzene,C6H4Br2,7.35,20,293.15,three_figures,,,,"55,83",,Brc1ccccc1Br,WQONPSCCEXUXTQ-UHFFFAOYSA-N,C6H4Br2,true,pubchem,o-Dibromobenzene,0.000000,false,6,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
81,true,true,,nbs514:p25:010,25,m-Dibromobenzene,C6H4Br2,4.80,20,293.15,three_figures,,,,"55,83",,Brc1cccc(Br)c1,JSRLURSZEMLAFO-UHFFFAOYSA-N,C6H4Br2,true,pubchem,m-Dibromobenzene,0.000000,false,6,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
82,true,true,,nbs514:p25:011,25,o-Dichlorobenzene,C6H4Cl2,9.93,25,298.15,three_figures,194,alpha,0 to 50,"69 [53,55,61,179]",,Clc1ccccc1Cl,RFFLAFLAYFXFSW-UHFFFAOYSA-N,C6H4Cl2,true,pubchem,o-Dichlorobenzene,0.000000,false,6,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
83,true,true,,nbs514:p25:012,25,m-Dichlorobenzene,C6H4Cl2,5.04,25,298.15,three_figures,120,alpha,0 to 50,"69 [55,61]",,Clc1cccc(Cl)c1,ZPQOPVIELGIULI-UHFFFAOYSA-N,C6H4Cl2,true,pubchem,m-Dichlorobenzene,0.000000,false,6,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
84,true,true,,nbs514:p25:014,25,m-Diiodobenzene,C6H4I2,4.25,25,298.15,three_figures,,,,55,,Ic1cccc(I)c1,SFPQFQUXAJOWNF-UHFFFAOYSA-N,C6H4I2,true,pubchem,m-Diiodobenzene,0.000000,false,6,2,0,,,5.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
85,true,true,,nbs514:p16:018,16,Dimethylamine,C2H7N,5.26,25,298.15,three_figures,,,,268,,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,C2H7N,true,pubchem,Dimethylamine,0.000000,false,2,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
86,true,true,,nbs514:p19:008,19,Trimethylamine,C3H9N,2.44,25,298.15,three_figures,520.00,a,"0,25",268 [14],,CN(C)C,GETQZCLCWQTVFV-UHFFFAOYSA-N,C3H9N,true,pubchem,Trimethylamine,0.000000,false,3,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
87,true,true,,nbs514:p19:010,19,Furan,C4H4O,2.95,25,298.15,three_figures,,,,121,,c1ccoc1,YLQBMQCUIZJEEH-UHFFFAOYSA-N,C4H4O,true,pubchem,Furan,0.000000,false,4,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
88,true,true,,nbs514:p22:009,22,1-Butanethiol,C4H10S,4.95,25,298.15,three_figures,,,,140,,CCCCS,WQAQPCDUOCURKW-UHFFFAOYSA-N,C4H10S,true,pubchem,1-Butanethiol,0.000000,false,4,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
89,true,true,,nbs514:p22:010,22,Ethyl sulfide,C4H10S,5.72,25,298.15,three_figures,,,,140,,CCSCC,LJSQFQKUNVCTIA-UHFFFAOYSA-N,C4H10S,true,pubchem,Ethyl sulfide,0.000000,false,4,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
90,true,true,,nbs514:p22:018,22,Pyridine,C5H5N,12.3,25,298.15,three_figures,,,,"51,53,159 [166]",,c1ccncc1,JUJWROOIHBZHMG-UHFFFAOYSA-N,C5H5N,true,pubchem,Pyridine,0.000000,false,5,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
91,true,true,,nbs514:p24:011,24,1-Fluoropentane,C5H11F,4.24,20,293.15,three_figures,,,,243,,CCCCCF,OEPRBXUJOQLYID-UHFFFAOYSA-N,C5H11F,true,pubchem,1-Fluoropentane,0.000000,false,5,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
92,true,true,,nbs514:p24:012,24,2-Fluoro-2-methylbutane,C5H11F,5.89,20,293.15,three_figures,,,,243,,CCC(C)(C)F,HLLCNVLEVVFTJB-UHFFFAOYSA-N,C5H11F,true,pubchem,2-Fluoro-2-methylbutane,0.000000,false,5,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
93,true,true,,nbs514:p25:005,25,1-Pentanethiol,C5H12S,4.55,25,298.15,three_figures,,,,"140 [14,18]",,CCCCCS,ZRKMQKLGEQPLNS-UHFFFAOYSA-N,C5H12S,true,pubchem,1-Pentanethiol,0.000000,false,5,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
94,true,true,,nbs514:p25:015,25,Bromobenzene,C6H5Br,5.40,25,298.15,three_figures,115,alpha,0 to 70,"60,61,86,194,272",,Brc1ccccc1,QARVLSVVCXYDNA-UHFFFAOYSA-N,C6H5Br,true,pubchem,Bromobenzene,0.000000,false,6,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
95,true,true,,nbs514:p26:005,26,Fluorobenzene,C6H5F,5.42,25,298.15,three_figures,,,,"153,255a,83",,Fc1ccccc1,PYLWMHQQBFSUBP-UHFFFAOYSA-N,C6H5F,true,pubchem,Fluorobenzene,0.000000,false,6,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
96,true,true,,nbs514:p26:006,26,Iodobenzene,C6H5I,4.63,20,293.15,three_figures,,,,"243,83",,Ic1ccccc1,SNHMUERNLJLMHN-UHFFFAOYSA-N,C6H5I,true,pubchem,Iodobenzene,0.000000,false,6,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
97,true,true,,nbs514:p26:011,26,Aniline,C6H7N,6.89,20,293.15,three_figures,148,alpha,0 to 50,"6,66,122,159,171,251",,Nc1ccccc1,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,C6H7N,true,pubchem,Aniline,0.000000,false,6,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
98,true,true,,nbs514:p29:015,29,Triethylamine,C6H15N,2.42,25,298.15,three_figures,,,,206 [26],,CCN(CC)CC,ZMANZCXQSJIPKH-UHFFFAOYSA-N,C6H15N,true,pubchem,Triethylamine,0.000000,false,6,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
99,true,true,,nbs514:p30:011,30,o-Chlorotoluene,C7H7Cl,4.45,20,293.15,three_figures,,,,83 [27],,Cc1ccccc1Cl,IBSQPLPBRSHTTG-UHFFFAOYSA-N,C7H7Cl,true,pubchem,o-Chlorotoluene,0.000000,false,7,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
100,true,true,,nbs514:p30:012,30,m-Chlorotoluene,C7H7Cl,5.55,20,293.15,three_figures,,,,83 [27],,Cc1cccc(Cl)c1,OSOUNOBYRMOXQQ-UHFFFAOYSA-N,C7H7Cl,true,pubchem,m-Chlorotoluene,0.000000,false,7,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
101,true,true,,nbs514:p30:013,30,p-Chlorotoluene,C7H7Cl,6.08,20,293.15,three_figures,,,,"83 [27,32]",,Cc1ccc(Cl)cc1,NPDACUSDTOMAMK-UHFFFAOYSA-N,C7H7Cl,true,pubchem,p-Chlorotoluene,0.000000,false,7,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
102,true,true,,nbs514:p30:014,30,o-Fluorotoluene,C7H7F,4.22,30,303.15,three_figures,,,,255a,,Cc1ccccc1F,MMZYCBHLNZVROM-UHFFFAOYSA-N,C7H7F,true,pubchem,o-Fluorotoluene,0.000000,false,7,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
103,true,true,,nbs514:p30:015,30,m-Fluorotoluene,C7H7F,5.42,30,303.15,three_figures,,,,255a,,Cc1cccc(F)c1,BTQZKHUEUDPRST-UHFFFAOYSA-N,C7H7F,true,pubchem,m-Fluorotoluene,0.000000,false,7,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
104,true,true,,nbs514:p30:016,30,p-Fluorotoluene,C7H7F,5.86,30,303.15,three_figures,,,,255a,,Cc1ccc(F)cc1,WRWPPGUCZBJXKX-UHFFFAOYSA-N,C7H7F,true,pubchem,p-Fluorotoluene,0.000000,false,7,1,0,,,4.500000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
105,true,true,,nbs514:p17:019,17,Propene,C3H6,1.875,20,293.15,three_figures,,,,161,,C=CC,QQONPFPTGQHPMA-UHFFFAOYSA-N,C3H6,true,pubchem,Propene,0.000000,false,3,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
106,true,true,,nbs514:p23:001,23,"1,3-Pentadiene",C5H8,2.32,25,298.15,three_figures,,,,"104,130",,C=C/C=C/C,PMJHHCWVYXUKFD-SNAWJCMRSA-N,C5H8,true,pubchem,"1,3-Pentadiene",0.000000,false,5,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
107,true,true,,nbs514:p23:002,23,"2-Methyl-1,3-butadiene (Isoprene)",C5H8,2.10,25,298.15,three_figures,240,a,-75 to 25,129,,C=CC(=C)C,RRHGJUQNOFWUDK-UHFFFAOYSA-N,C5H8,true,pubchem,Isoprene,0.000000,false,5,0,0,,,4.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
