selection_rank,selected_for_v02,selection_eligible,selection_exclusion,source_id,source_page,compound_name,formula,dielectric,t_C,T_K,source_quality,alpha_1e5,alpha_kind,valid_range_C,references,frequency_note,smiles,inchikey,molecular_formula,formula_match,resolution_source,resolved_name,max_tanimoto_solvfunc,al_round1_hit,carbon_count,hetero_count,polar_group_bonus,hazard_flags,stability_flags,priority_score,notes
21,true,true,,nbs514:p17:016,17,Ethyl thiocyanate,C3H5NS,29.3,21,294.15,three_figures,,,,"26 [17,18,22]",,CCSC#N,WFCLYEAZTHWNEH-UHFFFAOYSA-N,C3H5NS,true,pubchem,Ethyl thiocyanate,0.000000,false,3,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
22,true,true,,nbs514:p19:002,19,"1,3-Propanediol",C3H8O2,35.0,20,293.15,three_figures,230.00,alpha,at 20,232,,OCCCO,YPFDHNVEDLHUCE-UHFFFAOYSA-N,C3H8O2,true,pubchem,"1,3-Propanediol",0.000000,false,3,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
23,true,true,,nbs514:p20:020,20,Butyric acid,C4H8O2,2.97,20,293.15,three_figures,-230.00,a,"10,70","96,149 [2,7]",,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,C4H8O2,true,pubchem,Butyric acid,0.000000,false,4,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
24,true,true,,nbs514:p21:011,21,Morpholine,C4H9NO,7.33,25,298.15,three_figures,,,,225,,C1COCCN1,YNAVUWVOSKDBBP-UHFFFAOYSA-N,C4H9NO,true,pubchem,Morpholine,0.000000,false,4,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
25,true,true,,nbs514:p22:005,22,"1,4-Butanediol",C4H10O2,30.2,30,303.15,three_figures,,,,236,,OCCCCO,WERYXYBDKMZEQL-UHFFFAOYSA-N,C4H10O2,true,pubchem,"1,4-Butanediol",0.000000,false,4,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
26,true,true,,nbs514:p22:006,22,"1,1-Dimethoxyethane",C4H10O2,3.49,20,293.15,three_figures,,,,298,,COC(C)OC,SPEUIVXLLWOEMJ-UHFFFAOYSA-N,C4H10O2,true,pubchem,"1,1-Dimethoxyethane",0.000000,false,4,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
27,true,true,,nbs514:p23:023,23,Valeric acid,C5H10O2,2.66,20,293.15,three_figures,,,,"2,7,27",,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,C5H10O2,true,pubchem,Valeric acid,0.000000,false,5,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
28,true,true,,nbs514:p23:024,23,Isovaleric acid,C5H10O2,2.64,20,293.15,three_figures,,,,7,,CC(C)CC(=O)O,GWYFCOCPABKNJV-UHFFFAOYSA-N,C5H10O2,true,pubchem,Isovaleric acid,0.000000,false,5,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
29,true,true,,nbs514:p26:004,26,o-Chlorophenol,C6H5ClO,6.31,25,298.15,three_figures,2700,a,25 to 58,"57,61,261",,Oc1ccccc1Cl,ISPYQTSUDJAMAB-UHFFFAOYSA-N,C6H5ClO,true,pubchem,o-Chlorophenol,0.000000,false,6,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
30,true,true,,nbs514:p29:011,29,"2-Methyl-2,4-pentanediol",C6H14O2,24.4,30,303.15,three_figures,14500,a,30 to 35,295 [232],,CC(O)CC(C)(C)O,SVTBMSDMJJWYQN-UHFFFAOYSA-N,C6H14O2,true,pubchem,"2-Methyl-2,4-pentanediol",0.000000,false,6,2,1,,,12.000000,nbs514_doi=10.6028/nbs.circ.514;source_url=https://nvlpubs.nist.gov/nistpubs/Legacy/circ/nbscircular514.pdf;source_quality=three_figures;formula_match=true;manual_transcription_review_required=true
