scenario,qid,size,singleton,n_ring,n_acyclic,unique_inchikeys,pair_capacity,smiles_examples
scaffold_butina_qid,ring:O=C1CCCO1,2,False,2,0,2,1,O=C1CCCO1;CC1CCC(=O)O1
scaffold_butina_qid,ring:O=S1(=O)CCCC1,1,True,1,0,1,0,O=S1(=O)CCCC1
scaffold_butina_qid,ring:c1c[nH+]c[nH]1,14,False,14,0,14,91,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F;CCCCn1c(C)c(C)[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F;CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1
scaffold_butina_qid,ring:c1c[nH]cn1,3,False,3,0,3,3,Cn1ccnc1;Br.Cn1ccnc1;Cl.Cn1ccnc1
scaffold_butina_qid,ring:c1ccccc1,31,False,31,0,31,465,CNc1ccccc1;Cc1ccccc1;N#Cc1ccccc1
scaffold_butina_qid,ring:c1ccncc1,1,True,1,0,1,0,c1ccncc1
scaffold_butina_qid,ring:c1ccoc1,1,True,1,0,1,0,c1ccoc1
scaffold_butina_qid,ring:c1ccsc1,1,True,1,0,1,0,CC(=O)c1cccs1
scaffold_butina_qid,ring:c1cnccn1,1,True,1,0,1,0,Cc1cnc(C)cn1
inchikey_singleton_negative_control,AFBPFSWMIHJQDM-UHFFFAOYSA-N,1,True,0,0,1,0,CNc1ccccc1
inchikey_singleton_negative_control,AILKHAQXUAOOFU-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCC#N
inchikey_singleton_negative_control,ALYCOCULEAWWJO-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
inchikey_singleton_negative_control,AMQJEAYHLZJPGS-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCO
inchikey_singleton_negative_control,APPOKADJQUIAHP-UHFFFAOYSA-N,1,True,0,0,1,0,CC=CC=CC
inchikey_singleton_negative_control,BAPJBEWLBFYGME-UHFFFAOYSA-N,1,True,0,0,1,0,C=CC(=O)OC
inchikey_singleton_negative_control,BBMCTIGTTCKYKF-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCCCO
inchikey_singleton_negative_control,BDERNNFJNOPAEC-UHFFFAOYSA-N,1,True,0,0,1,0,CCCO
inchikey_singleton_negative_control,BGTOWKSIORTVQH-UHFFFAOYSA-N,1,True,0,0,1,0,O=C1CCCC1
inchikey_singleton_negative_control,BKIMMITUMNQMOS-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCCCCC
inchikey_singleton_negative_control,BMRWNKZVCUKKSR-UHFFFAOYSA-N,1,True,0,0,1,0,CCC(O)CO
inchikey_singleton_negative_control,BOGRNZQRTNVZCZ-AATRIKPKSA-N,1,True,0,0,1,0,C=C/C(C)=C/C
inchikey_singleton_negative_control,BTANRVKWQNVYAZ-UHFFFAOYSA-N,1,True,0,0,1,0,CCC(C)O
inchikey_singleton_negative_control,BTGRAWJCKBQKAO-UHFFFAOYSA-N,1,True,0,0,1,0,N#CCCCCC#N
inchikey_singleton_negative_control,BTNXBLUGMAMSSH-UHFFFAOYSA-N,1,True,0,0,1,0,N#CCCCCCCC#N
inchikey_singleton_negative_control,BTQZKHUEUDPRST-UHFFFAOYSA-N,1,True,0,0,1,0,Cc1cccc(F)c1
inchikey_singleton_negative_control,BWEKDYGHDCHWEN-UHFFFAOYSA-N,1,True,0,0,1,0,CCCC=C(C)C
inchikey_singleton_negative_control,CBTVGIZVANVGBH-UHFFFAOYSA-N,1,True,0,0,1,0,CC(C)(N)CO
inchikey_singleton_negative_control,CGZZMOTZOONQIA-UHFFFAOYSA-N,1,True,0,0,1,0,O=C1CCCCCC1
inchikey_singleton_negative_control,CJSBUWDGPXGFGA-UHFFFAOYSA-N,1,True,0,0,1,0,C=CC=C(C)C
inchikey_singleton_negative_control,CQEYYJKEWSMYFG-UHFFFAOYSA-N,1,True,0,0,1,0,C=CC(=O)OCCCC
inchikey_singleton_negative_control,CRVGTESFCCXCTH-UHFFFAOYSA-N,1,True,0,0,1,0,CN(CCO)CCO
inchikey_singleton_negative_control,CSCPPACGZOOCGX-UHFFFAOYSA-N,1,True,0,0,1,0,CC(C)=O
inchikey_singleton_negative_control,CWIFAKBLLXGZIC-UHFFFAOYSA-N,1,True,0,0,1,0,FC(F)C(F)(F)OCC(F)(F)F
inchikey_singleton_negative_control,CYTYCFOTNPOANT-UHFFFAOYSA-N,1,True,0,0,1,0,ClC(Cl)=C(Cl)Cl
inchikey_singleton_negative_control,DHKHKXVYLBGOIT-UHFFFAOYSA-N,1,True,0,0,1,0,CCOC(C)OCC
inchikey_singleton_negative_control,DIQMPQMYFZXDAX-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCOC=O
inchikey_singleton_negative_control,DKGAVHZHDRPRBM-UHFFFAOYSA-N,1,True,0,0,1,0,CC(C)(C)O
inchikey_singleton_negative_control,DKPFZGUDAPQIHT-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCOC(C)=O
inchikey_singleton_negative_control,DLRJIFUOBPOJNS-UHFFFAOYSA-N,1,True,0,0,1,0,CCOc1ccccc1
inchikey_singleton_negative_control,DNIAPMSPPWPWGF-UHFFFAOYSA-N,1,True,0,0,1,0,CC(O)CO
inchikey_singleton_negative_control,DTQVDTLACAAQTR-UHFFFAOYSA-N,1,True,0,0,1,0,O=C(O)C(F)(F)F
inchikey_singleton_negative_control,DURPTKYDGMDSBL-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCOCCCC
inchikey_singleton_negative_control,FDPIMTJIUBPUKL-UHFFFAOYSA-N,1,True,0,0,1,0,CCC(=O)CC
inchikey_singleton_negative_control,FERIUCNNQQJTOY-UHFFFAOYSA-N,1,True,0,0,1,0,CCCC(=O)O
inchikey_singleton_negative_control,FOTXAJDDGPYIFU-UHFFFAOYSA-N,1,True,0,0,1,0,CCC1CC1
inchikey_singleton_negative_control,FRZPYEHDSAQGAS-UHFFFAOYSA-M,1,True,0,0,1,0,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
inchikey_singleton_negative_control,FVSKHRXBFJPNKK-UHFFFAOYSA-N,1,True,0,0,1,0,CCC#N
inchikey_singleton_negative_control,FXHOOIRPVKKKFG-UHFFFAOYSA-N,1,True,0,0,1,0,CC(=O)N(C)C
inchikey_singleton_negative_control,FYIRUPZTYPILDH-UHFFFAOYSA-N,1,True,0,0,1,0,FC(F)C(F)C(F)(F)F
inchikey_singleton_negative_control,GAEKPEKOJKCEMS-UHFFFAOYSA-N,1,True,0,0,1,0,CC1CCC(=O)O1
inchikey_singleton_negative_control,GDOPTJXRTPNYNR-UHFFFAOYSA-N,1,True,0,0,1,0,CC1CCCC1
inchikey_singleton_negative_control,GETQZCLCWQTVFV-UHFFFAOYSA-N,1,True,0,0,1,0,CN(C)C
inchikey_singleton_negative_control,GETTZEONDQJALK-UHFFFAOYSA-N,1,True,0,0,1,0,FC(F)(F)c1ccccc1
inchikey_singleton_negative_control,GJRQTCIYDGXPES-UHFFFAOYSA-N,1,True,0,0,1,0,CC(=O)OCC(C)C
inchikey_singleton_negative_control,GOYDNIKZWGIXJT-UHFFFAOYSA-N,1,True,0,0,1,0,Fc1ccccc1F
inchikey_singleton_negative_control,GRYUVYIMDGRRLN-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCn1c(C)c(C)[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
inchikey_singleton_negative_control,GSEJCLTVZPLZKY-UHFFFAOYSA-N,1,True,0,0,1,0,OCCN(CCO)CCO
inchikey_singleton_negative_control,GWYFCOCPABKNJV-UHFFFAOYSA-N,1,True,0,0,1,0,CC(C)CC(=O)O
inchikey_singleton_negative_control,HBZDPWBWBJMYRY-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCCCCCC#N
inchikey_singleton_negative_control,HCBRSIIGBBDDCD-UHFFFAOYSA-N,1,True,0,0,1,0,FC(F)C(F)(F)OCC(F)(F)C(F)F
inchikey_singleton_negative_control,HEBKCHPVOIAQTA-NGQZWQHPSA-N,1,True,0,0,1,0,OC[C@@H](O)C(O)[C@@H](O)CO
inchikey_singleton_negative_control,HGCIXCUEYOPUTN-UHFFFAOYSA-N,1,True,0,0,1,0,C1=CCCCC1
inchikey_singleton_negative_control,HLLCNVLEVVFTJB-UHFFFAOYSA-N,1,True,0,0,1,0,CCC(C)(C)F
inchikey_singleton_negative_control,HPXRVTGHNJAIIH-UHFFFAOYSA-N,1,True,0,0,1,0,OC1CCCCC1
inchikey_singleton_negative_control,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1,True,0,0,1,0,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1
inchikey_singleton_negative_control,HTSABYAWKQAHBT-UHFFFAOYSA-N,1,True,0,0,1,0,CC1CCCC(O)C1
inchikey_singleton_negative_control,HXDLWJWIAHWIKI-UHFFFAOYSA-N,1,True,0,0,1,0,CC(=O)OCCO
inchikey_singleton_negative_control,HXJUTPCZVOIRIF-UHFFFAOYSA-N,1,True,0,0,1,0,O=S1(=O)CCCC1
inchikey_singleton_negative_control,HZAXFHJVJLSVMW-UHFFFAOYSA-N,1,True,0,0,1,0,NCCO
inchikey_singleton_negative_control,HZKDSQCZNUUQIF-UHFFFAOYSA-M,1,True,0,0,1,0,CCn1cc[n+](C)c1.O=S(=O)([O-])O
inchikey_singleton_negative_control,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,1,True,0,0,1,0,CS(C)=O
inchikey_singleton_negative_control,IBSQPLPBRSHTTG-UHFFFAOYSA-N,1,True,0,0,1,0,Cc1ccccc1Cl
inchikey_singleton_negative_control,IEJIGPNLZYLLBP-UHFFFAOYSA-N,1,True,0,0,1,0,COC(=O)OC
inchikey_singleton_negative_control,IIRFCWANHMSDCG-UHFFFAOYSA-N,1,True,0,0,1,0,O=C1CCCCCCC1
inchikey_singleton_negative_control,IMNFDUFMRHMDMM-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCCC
inchikey_singleton_negative_control,ISPYQTSUDJAMAB-UHFFFAOYSA-N,1,True,0,0,1,0,Oc1ccccc1Cl
inchikey_singleton_negative_control,IYXGSMUGOJNHAZ-UHFFFAOYSA-N,1,True,0,0,1,0,CCOC(=O)CC(=O)OCC
inchikey_singleton_negative_control,JBTWLSYIZRCDFO-UHFFFAOYSA-N,1,True,0,0,1,0,CCOC(=O)OC
inchikey_singleton_negative_control,JFDZBHWFFUWGJE-UHFFFAOYSA-N,1,True,0,0,1,0,N#Cc1ccccc1
inchikey_singleton_negative_control,JHIVVAPYMSGYDF-UHFFFAOYSA-N,1,True,0,0,1,0,O=C1CCCCC1
inchikey_singleton_negative_control,JIGUQPWFLRLWPJ-UHFFFAOYSA-N,1,True,0,0,1,0,C=CC(=O)OCC
inchikey_singleton_negative_control,JRGGUPZKKTVKOV-UHFFFAOYSA-N,1,True,0,0,1,0,Clc1cccc(Br)c1
inchikey_singleton_negative_control,JSRLURSZEMLAFO-UHFFFAOYSA-N,1,True,0,0,1,0,Brc1cccc(Br)c1
inchikey_singleton_negative_control,JUJWROOIHBZHMG-UHFFFAOYSA-N,1,True,0,0,1,0,c1ccncc1
inchikey_singleton_negative_control,JWUJQDFVADABEY-UHFFFAOYSA-N,1,True,0,0,1,0,CC1CCCO1
inchikey_singleton_negative_control,JYPJLAPMBJKRDG-UHFFFAOYSA-M,1,True,0,0,1,0,CCCCS(=O)(=O)[O-].CCn1cc[n+](C)c1
inchikey_singleton_negative_control,KBPLFHHGFOOTCA-UHFFFAOYSA-N,1,True,0,0,1,0,CCCCCCCCO
inchikey_singleton_negative_control,KFUSEUYYWQURPO-OWOJBTEDSA-N,1,True,0,0,1,0,Cl/C=C/Cl
inchikey_singleton_negative_control,KFUSEUYYWQURPO-UPHRSURJSA-N,1,True,0,0,1,0,Cl/C=C\Cl
inchikey_singleton_negative_control,KFZMGEQAYNKOFK-UHFFFAOYSA-N,1,True,0,0,1,0,CC(C)O
