model,train_size,run,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
SizeOnlyRidge,60,4,60,20,9480094d530fc699b5bc19f896dbe84f5f82a4f1f7996b28e7290e9918a4055a,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.412896381965528,23.519245708457674,0.04324586784658413
MorganRBFGPR,60,4,60,20,9480094d530fc699b5bc19f896dbe84f5f82a4f1f7996b28e7290e9918a4055a,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,13.394012175511014,25.90046632894428,-0.1602958395658538
DummyMean,80,0,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.068573375000003,24.26164006598631,-0.018108067880337808
SizeOnlyRidge,80,0,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.335219727953266,23.592482394400513,0.037278108706607416
MorganRBFGPR,80,0,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486319,21.08209132476301,0.2312573992274417
DummyMean,80,1,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.068573375000003,24.26164006598631,-0.018108067880337808
SizeOnlyRidge,80,1,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.335219727953262,23.592482394400513,0.037278108706607194
MorganRBFGPR,80,1,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486361,21.082091324763155,0.23125739922743116
DummyMean,80,2,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.068573375000003,24.26164006598631,-0.018108067880337808
SizeOnlyRidge,80,2,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.335219727953266,23.592482394400516,0.03727810870660708
MorganRBFGPR,80,2,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486296,21.082091324763116,0.23125739922743405
DummyMean,80,3,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.068573375000003,24.26164006598631,-0.018108067880337808
SizeOnlyRidge,80,3,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.335219727953266,23.592482394400516,0.03727810870660708
MorganRBFGPR,80,3,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486404,21.082091324763105,0.23125739922743482
DummyMean,80,4,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,17.068573375000003,24.26164006598631,-0.018108067880337808
SizeOnlyRidge,80,4,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,16.335219727953266,23.592482394400513,0.037278108706607194
MorganRBFGPR,80,4,80,20,0ecc8141f02f93456952b3b841a32cc50b97265469c0b38e30f4611b2937e7f3,a9ba1277297a5c1d8666e8271a6aec46e6ebad0497153b83dc2be5fe7e56b7ee,11.534501426486397,21.08209132476304,0.2312573992274396
