inchikey,name,smiles,T_K,dielectric,formal_charge,heavy_atom_count,hbd,hba,tpsa_A2,molecular_volume_A3,molar_volume_m3_mol,dipole_D,polarizability_au,polarizability_A3,mu_sq_over_Vm,alpha_over_Vm,total_energy_hartree,homo_lumo_gap_ev,xtb_seconds,xtb_version,status,error
PLDWAJLZAAHOGG-UHFFFAOYSA-N,1-bromo-3-methoxybenzene,COC1=CC(=CC=C1)Br,303.15,7.01,0,9,0,1,9.23,127.792,7.6958141e-05,3.039,103.0534,15.270942,120007.07,0.11949842,-26.6934215088,3.9083,0.38681,6.7.1pre,ok,
POAOYUHQDCAZBD-UHFFFAOYSA-N,2-butoxyethan-1-ol,CCCCOCCO,293.15,9.78,0,8,1,2,29.46,129.552,7.8018038e-05,1.914,84.821681,12.569279,46955.757,0.097021111,-28.1005242486,10.9233,0.2045166,6.7.1pre,ok,
PUPZLCDOIYMWBV-UHFFFAOYSA-N,"1,3-butanediol",CC(CCO)O,298.2,28.692,0,6,2,2,40.46,95.832,5.7711379e-05,3.491,61.039613,9.0451394,211172.93,0.094385376,-21.7776814365,11.3929,0.1166611,6.7.1pre,ok,
QPRQEDXDYOZYLA-UHFFFAOYSA-N,2-methyl-1-butanol,CCC(C)CO,298.15,15.52,0,6,1,1,20.23,103.88,6.2557998e-05,1.552,68.162251,10.100606,38503.534,0.097233401,-20.8839231608,12.0197,0.1240175,6.7.1pre,ok,
QTBFPMKWQKYFLR-UHFFFAOYSA-N,1-chloro-2-methylpropane,CC(C)CCl,283.15,7.472,0,5,0,0,0,93.72,5.6439503e-05,2.371,63.849875,9.4615773,99604.722,0.1009558,-17.7088582664,6.9313,0.2640517,6.7.1pre,ok,
SNRUBQQJIBEYMU-UHFFFAOYSA-N,dodecane,CCCCCCCCCCCC,288.15,2.04,0,12,0,0,0,212.328,0.00012786691,0.027,145.16559,21.511326,5.7012404,0.10131177,-38.9674134851,12.8644,0.2252026,6.7.1pre,ok,
UAGJVSRUFNSIHR-UHFFFAOYSA-N,methyl levulinate,CC(=O)CCC(=O)OC,278.15,16.027,0,9,0,3,43.37,126.44,7.6143948e-05,2.473,82.815276,12.27196,80317.992,0.09705758,-30.1429536523,3.9138,0.1952067,6.7.1pre,ok,
UJPMYEOUBPIPHQ-UHFFFAOYSA-N,"1,1,1-trifluoroethane",CC(F)(F)F,218.12,16.968,0,5,0,0,0,60.64,3.6518262e-05,3.123,31.81509,4.7145109,267075.39,0.077745893,-20.0218499696,14.4416,0.320317,6.7.1pre,ok,
VFWCMGCRMGJXDK-UHFFFAOYSA-N,1-chlorobutane,CCCCCl,283.15,7.552,0,5,0,0,0,93.824,5.6502133e-05,2.257,63.897693,9.4686632,90156.755,0.10091942,-17.7066322022,6.9701,0.1431173,6.7.1pre,ok,
VQKFNUFAXTZWDK-UHFFFAOYSA-N,2-methylfuran,CC1=CC=CO1,278.15,2.976,0,6,0,1,13.14,81.848,4.9290018e-05,0.624,61.461511,9.1076582,7899.6928,0.11127527,-17.814986494,4.5354,0.1004799,6.7.1pre,ok,
VZGDMQKNWNREIO-UHFFFAOYSA-N,tetrachloromethane,C(Cl)(Cl)(Cl)Cl,293.15,2.23,0,5,0,0,0,90.168,5.4300439e-05,0,67.656624,10.025679,0,0.11118889,-20.3215779864,4.9796,0.095006,6.7.1pre,ok,
WEHWNAOGRSTTBQ-UHFFFAOYSA-N,dipropylamine,CCCNCCC,293.15,3.148,0,7,1,1,12.03,124.416,7.4925066e-05,0.938,84.535231,12.526831,11742.986,0.10068505,-23.4085049437,10.2677,0.1507874,6.7.1pre,ok,
ZNQVEEAIQZEUHB-UHFFFAOYSA-N,2-ethoxyethan-1-ol,CCOCCO,293.15,14.25,0,6,1,2,29.46,96.384,5.8043802e-05,2.64,61.469024,9.1087715,120074.84,0.094505017,-21.7775568364,10.8418,0.1746154,6.7.1pre,ok,
