arm,inchikey,name,epsilon_observed,onsager_epsilon,epsilon_pred,delta_true,delta_pred,signed_error,domain,failure_type
D0_delta_core,KLTUZFZUYLXTFF-UHFFFAOYSA-N,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,23.3,82.1073071673,53.58470449,-58.8073071673,-28.5226026773,-30.28470449,both,ionic_overprediction
D0_delta_core,LBHLGZNUPKUZJC-UHFFFAOYSA-N,1-butyl-1-methylpyrrolidinium dicyanamide,18,116.153845674,84.0459799585,-98.1538456736,-32.107865715,-66.0459799585,ionic_only,ionic_overprediction
D0_delta_core,LSBXQLQATZTAPE-UHFFFAOYSA-N,1-butyl-3-methylimidazolium tetrafluoroborate,13.9,142.089757341,115.155834555,-128.189757341,-26.9339227855,-101.255834555,ionic_only,ionic_overprediction
D0_delta_core,LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,60.9,20.8289438764,42.4756142417,40.0710561236,21.6466703653,18.4243857583,both,high_epsilon_miss
D0_delta_core,NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,85.6,5.97933023131,30.9157174841,79.6206697687,24.9363872528,54.6842825159,assoc_only,high_epsilon_miss
D0_delta_core,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,178.47,5.9744908461,11.4709360251,172.495509154,5.49644517899,166.999063975,assoc_only,high_epsilon_miss
D0_delta_core,QRCRANRUHQKZME-UHFFFAOYSA-N,"3-butyl-1,2,4,5-tetramethyl-1H-imidazol-3-ium tetrafluoroborate",12,90.2035313888,46.4763143221,-78.2035313888,-43.7272170667,-34.4763143221,ionic_only,ionic_overprediction
D0_delta_core,RYHBNJHYFVUHQT-UHFFFAOYSA-N,"1,4-dioxane",2.228,1.10125989107,1,1.12674010893,-0.101259891067,1.228,none,nonphysical_prediction
D0_delta_core,TVMXDCGIABBOFY-UHFFFAOYSA-N,octane,1.961,1.1076211483,1,0.8533788517,-0.1076211483,0.961,none,nonphysical_prediction
D0_delta_core,UAEPNZWRGJTJPN-UHFFFAOYSA-N,methylcyclohexane,2.01,1.10998539605,1,0.90001460395,-0.10998539605,1.01,none,nonphysical_prediction
D0_delta_core,VCAIYEJBOWHUGP-UHFFFAOYSA-N,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",13.3,2.20117467965,1,11.0988253203,-1.20117467965,12.3,ionic_only,nonphysical_prediction
D0_delta_core,VVLAIYIMMFWRFW-UHFFFAOYSA-N,2-hydroxyethylammonium acetate,58.3,4.76933191054,17.4254214548,53.5306680895,12.6560895443,40.8745785452,assoc_only,assoc_underprediction
D0_delta_core,XDJYSDBSJWNTQT-UHFFFAOYSA-N,"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",12.8,44.2192801694,40.0646130363,-31.4192801694,-4.15466713309,-27.2646130363,ionic_only,ionic_overprediction
D0_delta_core,XDTMQSROBMDMFD-UHFFFAOYSA-N,cyclohexane,2.02,1.10684113993,1,0.913158860075,-0.106841139925,1.02,none,nonphysical_prediction
D0_delta_core,XLYOFNOQVPJJNP-UHFFFAOYSA-N,water,78.87,40.4474006258,48.6684709393,38.4225993742,8.22107031345,30.2015290607,assoc_only,high_epsilon_miss
D0_delta_core,YXFVVABEGXRONW-UHFFFAOYSA-N,toluene,2.40445,1.46990395237,1,0.93454604763,-0.46990395237,1.40445,none,nonphysical_prediction
D0_delta_core,ZHNUHDYFZUAESO-UHFFFAOYSA-N,formamide,106.14,1.63244107371,26.6529405892,104.507558926,25.0204995155,79.4870594108,assoc_only,high_epsilon_miss
D0_delta_core,ZPTRYWVRCNOTAS-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium trifluoromethanesulfonate,16.5,17.4010984828,1,-0.901098482776,-16.4010984828,15.5,ionic_only,nonphysical_prediction
D0_delta_core,SQYNKIJPMDEDEG-UHFFFAOYSA-N,Paraldehyde,13.9,1.56759076609,1,12.3324092339,-0.567590766089,12.9,none,nonphysical_prediction
D0_delta_core,RDOXTESZEPMUJZ-UHFFFAOYSA-N,Methoxybenzene (Anisole),4.33,3.78240490407,1,0.547595095926,-2.78240490407,3.33,none,nonphysical_prediction
D0_delta_core,LCZUOKDVTBMCMX-UHFFFAOYSA-N,"2,5-Dimethylpyrazine",2.436,1.11662360242,1,1.31937639758,-0.116623602424,1.436,none,nonphysical_prediction
D0_delta_core,UHOVQNZJYSORNB-UHFFFAOYSA-N,Benzene,2.284,1.12590545146,1,1.15809454854,-0.125905451456,1.284,none,nonphysical_prediction
D0_delta_core,HGCIXCUEYOPUTN-UHFFFAOYSA-N,Cyclohexene,2.22,1.24380093714,1,0.976199062857,-0.243800937143,1.22,none,nonphysical_prediction
D0_delta_core,GDOPTJXRTPNYNR-UHFFFAOYSA-N,Methylcyclopentane,1.985,1.11100262715,1,0.873997372847,-0.111002627153,0.985,none,nonphysical_prediction
D0_delta_core,NEZRFXZYPAIZAD-UHFFFAOYSA-N,Ethylcyclobutane,1.965,1.12524438408,1,0.839755615925,-0.125244384075,0.965,none,nonphysical_prediction
D0_delta_core,ZQDPJFUHLCOCRG-WAYWQWQTSA-N,cis-3-Hexene,2.062,1.19258064684,1,0.869419353159,-0.192580646841,1.062,none,nonphysical_prediction
D0_delta_core,ZQDPJFUHLCOCRG-AATRIKPKSA-N,trans-3-Hexene,2,1.10808604929,1,0.891913950705,-0.108086049295,1,none,nonphysical_prediction
D0_delta_core,VLKZOEOYAKHREP-UHFFFAOYSA-N,n-Hexane,1.89,1.10385792273,1,0.786142077267,-0.103857922733,0.89,none,nonphysical_prediction
D0_delta_core,RWNKSTSCBHKHTB-UHFFFAOYSA-N,"Hexachloro-1,3-butadiene",2.55,1.1593863388,1,1.3906136612,-0.159386338803,1.55,none,nonphysical_prediction
D0_delta_core,CYTYCFOTNPOANT-UHFFFAOYSA-N,Tetrachloroethylene,2.3,1.12045182946,1,1.17954817054,-0.120451829458,1.3,none,nonphysical_prediction
D0_delta_core,UQEAIHBTYFGYIE-UHFFFAOYSA-N,Hexamethyldisiloxane,2.17,1.21737241547,1,0.952627584532,-0.217372415468,1.17,none,nonphysical_prediction
D0_delta_core,KFUSEUYYWQURPO-OWOJBTEDSA-N,"trans-1,2-Dichloroethylene",2.14,1.11523574299,1,1.02476425701,-0.115235742988,1.14,none,nonphysical_prediction
D0_delta_core,YLQBMQCUIZJEEH-UHFFFAOYSA-N,Furan,2.95,1.38878820797,1,1.56121179203,-0.388788207969,1.95,none,nonphysical_prediction
D0_delta_core,ZMANZCXQSJIPKH-UHFFFAOYSA-N,Triethylamine,2.42,1.58318603892,1,0.836813961076,-0.583186038924,1.42,none,nonphysical_prediction
D0_delta_core,IBSQPLPBRSHTTG-UHFFFAOYSA-N,o-Chlorotoluene,4.45,4.30209983232,1,0.147900167676,-3.30209983232,3.45,none,nonphysical_prediction
D0_delta_core,APPOKADJQUIAHP-UHFFFAOYSA-N,"2,4-Hexadiene",2.22,1.31910733263,1,0.900892667375,-0.319107332625,1.22,none,nonphysical_prediction
D0_delta_core,BOGRNZQRTNVZCZ-AATRIKPKSA-N,"3-Methyl-1,3-pentadiene",2.43,1.66039772435,1,0.769602275651,-0.660397724349,1.43,none,nonphysical_prediction
D0_delta_core,SDJHPPZKZZWAKF-UHFFFAOYSA-N,"2,3-dimethyl-1,3-butadiene",2.1,1.11340483275,1,0.986595167246,-0.113404832754,1.1,none,nonphysical_prediction
D0_delta_core,ZGEGCLOFRBLKSE-UHFFFAOYSA-N,1-heptene,2.05,1.25796293173,1,0.792037068272,-0.257962931728,1.05,none,nonphysical_prediction
D0_delta_core,BWEKDYGHDCHWEN-UHFFFAOYSA-N,2-methyl-2-hexene,2.96,1.29390455871,1,1.66609544129,-0.293904558708,1.96,none,nonphysical_prediction
D0_delta_core,HCBRSIIGBBDDCD-UHFFFAOYSA-N,"1,1,2,2-tetrafluoroethyl 2,2,3,3-tetrafluoropropyl ether",2.8,2.73674682064,1,0.0632531793643,-1.73674682064,1.8,none,nonphysical_prediction
D0_delta_core,DLRJIFUOBPOJNS-UHFFFAOYSA-N,ethoxybenzene,4.2,3.76534390041,1,0.434656099591,-2.76534390041,3.2,none,nonphysical_prediction
D0_delta_core,WSLDOOZREJYCGB-UHFFFAOYSA-N,"1,2-dichloroethane",10.7,1.10684367094,1,9.59315632906,-0.106843670944,9.7,none,nonphysical_prediction
D0_delta_core,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,"2,2'-dichlorodiethyl ether",20.79,1.56093463504,1,19.229065365,-0.560934635037,19.79,none,nonphysical_prediction
D1_delta_core_morgan,ALYCOCULEAWWJO-UHFFFAOYSA-N,triethylpentylammonium bis(trifluoromethylsulfonyl)imide,12.5,6.67840629363,1,5.82159370637,-5.67840629363,11.5,ionic_only,nonphysical_prediction
D1_delta_core_morgan,BKIMMITUMNQMOS-UHFFFAOYSA-N,nonane,1.98,1.10532080108,1,0.874679198919,-0.105320801081,0.98,none,nonphysical_prediction
D1_delta_core_morgan,HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,16.9,96.6466343683,71.3371535105,-79.7466343683,-25.3094808578,-54.4371535105,ionic_only,ionic_overprediction
D1_delta_core_morgan,IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,1.93,1.10583566295,1,0.82416433705,-0.10583566295,0.93,none,nonphysical_prediction
D1_delta_core_morgan,JYPJLAPMBJKRDG-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium butylsulfonate,30,153.401832604,135.622612738,-123.401832604,-17.7792198658,-105.622612738,ionic_only,ionic_overprediction
D1_delta_core_morgan,LBHLGZNUPKUZJC-UHFFFAOYSA-N,1-butyl-1-methylpyrrolidinium dicyanamide,18,116.153845674,113.007623061,-98.1538456736,-3.14622261226,-95.0076230613,ionic_only,ionic_overprediction
D1_delta_core_morgan,LSBXQLQATZTAPE-UHFFFAOYSA-N,1-butyl-3-methylimidazolium tetrafluoroborate,13.9,142.089757341,104.304207033,-128.189757341,-37.7855503082,-90.4042070328,ionic_only,ionic_overprediction
D1_delta_core_morgan,LZJIBRSVPKKOSI-UHFFFAOYSA-O,ethanolammonium nitrate,60.9,20.8289438764,35.9036260167,40.0710561236,15.0746821404,24.9963739833,both,high_epsilon_miss
D1_delta_core_morgan,NEQXUPRFDXNNTA-UHFFFAOYSA-N,2-hydroxyethylammonium lactate,85.6,5.97933023131,32.0237230078,79.6206697687,26.0443927765,53.5762769922,assoc_only,high_epsilon_miss
D1_delta_core_morgan,OHLUUHNLEMFGTQ-UHFFFAOYSA-N,N-methylacetamide,178.47,5.9744908461,9.77631999344,172.495509154,3.80182914734,168.693680007,assoc_only,high_epsilon_miss
