arm,split_id,repeat,fold,fold_seed,train_count,n_test,n_assoc,n_ionic,n_gt60,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60,mae_assoc,mae_ionic,mae_none,mae_both,bias_assoc,bias_ionic,bias_gt60,spearman_gt60,delta_sign_accuracy
O0_onsager,34,6,4,76,188,46,9,8,1,17.4551357551,35.0134708302,-7.53234054034,0.64625346901,0.820512820513,0.666666666667,13.5743604677,32.576731413,40.0710561236,20.4656922668,68.6972239384,5.42082535859,49.4391816455,7.39740178512,-58.6794599075,40.0710561236,,0.45652173913
O1_structured_offset,34,6,4,76,188,46,9,8,1,15.9912481563,33.6676401717,-6.88902271948,0.77548881118,0.874125874126,0.77380952381,12.4297910612,29.8540365755,36.86285332,15.7243456746,65.8360313091,5.36349732046,49.4391816455,-0.191345319341,-56.6203179791,36.86285332,,0.695652173913
R0_direct_regression,34,6,4,76,188,46,9,8,1,5.06620544056,7.09769558699,0.649383305676,0.814122725871,0.871794871795,0.880952380952,3.92285956661,8.46609701157,20.1708702087,8.01166080051,7.53405852318,3.92429230407,10.4925132751,3.20733807034,6.63863320351,20.1708702087,,0.869565217391
R1_direct_with_logg,34,6,4,76,188,46,9,8,1,5.56687524563,7.57691341605,0.600439542432,0.809387242493,0.862470862471,0.895833333333,4.24466326038,10.847856822,12.2408660889,7.85500781165,8.49578371048,4.27249385858,7.51619415283,0.746152509054,1.78361196518,12.2408660889,,0.804347826087
D0_delta_core,34,6,4,76,188,46,9,8,1,14.7455032397,31.1791536446,-5.76591437219,0.774388012191,0.853146853147,0.845238095238,11.8758300841,28.8916468319,7.75426125918,13.0577903909,58.992510297,5.26067774803,37.1240285275,-7.11742679086,-56.2729145068,-7.75426125918,,0.630434782609
D1_delta_core_morgan,34,6,4,76,188,46,9,8,1,14.4683517712,31.2607311534,-5.80136552687,0.783400334289,0.874125874126,0.85119047619,11.8052238351,27.36715335,9.81367277707,10.4907032364,59.2724150416,5.33453999053,34.2111038464,-3.50531746752,-55.3083663586,9.81367277707,,0.695652173913
D2_delta_log,34,6,4,76,188,46,9,8,1,24.6896353299,62.1769249099,-25.9064456737,0.730866481653,0.846153846154,0.821428571429,20.1102432674,41.9028162797,56.4216940444,34.9453730859,111.319414944,6.7616991825,139.476563405,-29.0211167256,-109.943753942,-56.4216940444,,0.695652173913
D3_delta_leaky,34,6,4,76,188,46,9,8,1,9.87162645626,18.6781547834,-1.42809566142,0.774653098982,0.839160839161,0.839285714286,7.69675311941,18.8909507884,18.1873452624,12.084487695,33.2385846743,4.09462689594,23.7538417178,-1.19617552036,-28.6917483587,18.1873452624,,0.847826086957
O0_onsager,35,7,0,77,187,47,20,1,2,15.1379098896,34.5806897918,-0.561158780556,0.55540458524,0.829090909091,0.617857142857,6.14283694791,19.2098314644,126.058089461,20.9501807299,123.401832604,6.50293529259,,20.6431491156,-123.401832604,126.058089461,,0.617021276596
O1_structured_offset,35,7,0,77,187,47,20,1,2,12.8298190552,31.7808272953,-0.318591186212,0.695116664945,0.892727272727,0.739285714286,5.45476851253,14.2180132971,117.425742773,16.3094346219,110.59280922,6.39307668982,,12.0108024269,-110.59280922,117.425742773,,0.765957446809
