strategy,target_mode,representation,fold,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
random_repeated_kfold,raw,Morgan+Physical,8,6.81966313267,15.7085613934,0.320447013268,0.828837500217,0.923806479113,0.914447134786,4.32865219309,8.61244538961,70.4762378654
random_repeated_kfold,raw,Morgan+Physical,9,6.81260715646,16.0543297523,0.290201861156,0.84393628411,0.924445865303,0.906577885391,4.02429214718,8.99600453577,76.5828234634
random_repeated_kfold,log_epsilon_minus_one,Morgan,0,7.27174908135,17.4958973745,0.157008989586,0.781914745442,0.899616368286,0.822235673931,3.14736036855,13.4339865276,85.8396378567
random_repeated_kfold,log_epsilon_minus_one,Morgan,1,7.38765591666,17.4590833979,0.160552814828,0.763825906236,0.88789428815,0.81416464891,3.37603223246,13.3042935526,84.4552081956
random_repeated_kfold,log_epsilon_minus_one,Morgan,2,7.35569100748,17.3616913153,0.169892077286,0.72115048097,0.877664109122,0.814669087974,3.65417726531,12.2900049458,82.8752881785
random_repeated_kfold,log_epsilon_minus_one,Morgan,3,7.25304866098,17.2847018451,0.17723789012,0.755821602614,0.883205456095,0.818502824859,3.35760622078,12.9583575132,82.4244354127
random_repeated_kfold,log_epsilon_minus_one,Morgan,4,7.18745774874,17.1515849087,0.189861981443,0.790528194498,0.902173913043,0.842615012107,3.25470346175,12.9735712913,82.8591394597
random_repeated_kfold,log_epsilon_minus_one,Morgan,5,7.46740218456,17.4013475625,0.166095608395,0.710334803132,0.871110400682,0.790456012914,3.61521378869,13.1519729181,81.4461613321
random_repeated_kfold,log_epsilon_minus_one,Morgan,6,7.24186354591,17.2838682374,0.177317248648,0.770632594908,0.891197783461,0.829600484262,3.29823899868,12.9561827202,83.8601181741
random_repeated_kfold,log_epsilon_minus_one,Morgan,7,7.120768483,17.1158294144,0.193236210962,0.790795140821,0.907875106564,0.837570621469,3.29713981424,12.6068192052,81.8646083493
random_repeated_kfold,log_epsilon_minus_one,Morgan,8,7.39718629127,17.2762738886,0.178040046013,0.752226892088,0.892636402387,0.828793381759,3.5190433509,12.9382202007,83.4018183677
random_repeated_kfold,log_epsilon_minus_one,Morgan,9,7.27346148499,17.4278621146,0.163552420696,0.76902889701,0.894820971867,0.806497175141,3.21737124184,13.2777895703,85.0095572521
random_repeated_kfold,log_epsilon_minus_one,Physical,0,6.18885125788,15.9757893318,0.297129771735,0.903196487296,0.936594202899,0.920298627926,2.80663786728,11.0794834154,71.9854842773
random_repeated_kfold,log_epsilon_minus_one,Physical,1,6.28007835462,16.4334389459,0.25628351258,0.895816371392,0.935635123615,0.921509281679,2.65967656678,11.4817433092,76.9907892315
random_repeated_kfold,log_epsilon_minus_one,Physical,2,6.1580041596,15.6781212548,0.323078144681,0.886454723672,0.932438192668,0.914648910412,2.86595809122,10.6201782283,72.7043977433
random_repeated_kfold,log_epsilon_minus_one,Physical,3,6.00066134582,15.64717656,0.325747656884,0.895188851475,0.925085251492,0.927966101695,2.6750833066,10.4936278203,73.3480089997
random_repeated_kfold,log_epsilon_minus_one,Physical,4,5.7536824227,15.5477851389,0.33428620156,0.910724229097,0.944693094629,0.937046004843,2.52670949378,9.87690745566,73.0909366998
random_repeated_kfold,log_epsilon_minus_one,Physical,5,6.11423439242,15.6945907854,0.321655213874,0.888258931121,0.927216538789,0.915859564165,2.81950598965,10.5893740482,72.6364788111
random_repeated_kfold,log_epsilon_minus_one,Physical,6,6.02277241496,16.1835643915,0.278728356457,0.895276918523,0.933237425405,0.906376109766,2.50671138466,10.6977174111,77.8607630049
random_repeated_kfold,log_epsilon_minus_one,Physical,7,6.02032935923,15.9615610597,0.298381187271,0.902475325809,0.936594202899,0.924939467312,2.66828277306,10.2701674275,76.2463617093
random_repeated_kfold,log_epsilon_minus_one,Physical,8,5.86386318159,15.5463148922,0.334412099526,0.903352463084,0.943734015345,0.931598062954,2.65377613734,10.0832968511,71.8593709564
random_repeated_kfold,log_epsilon_minus_one,Physical,9,6.25289897126,16.3945712029,0.259797371974,0.904804256845,0.940643648764,0.913034705408,2.74769085383,11.1279941526,76.0666759591
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,0,6.15452047494,16.2355582468,0.274086370986,0.897626498213,0.938618925831,0.9098062954,2.56803193181,10.9848773048,78.912561067
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,1,6.17111891458,16.3614635461,0.26278392525,0.886128466786,0.935954816709,0.905367231638,2.64176038482,10.5730057885,80.7229987135
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,2,6.24975784547,16.0368263809,0.29174874452,0.8656344274,0.931052855925,0.915456012914,2.98440132662,10.0170412836,77.7898429609
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,3,6.01233788244,15.9709009436,0.297559844613,0.881797813239,0.931585677749,0.91202582728,2.56748132439,10.4151453718,77.8862222062
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,4,6.01491418326,15.9411586473,0.300173689602,0.896851290628,0.940643648764,0.92413236481,2.54502231811,10.5016354978,77.9750380797
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,5,6.23405097584,15.9858274731,0.296246218857,0.875042049423,0.932971014493,0.910008071025,2.85928253715,10.5001716386,77.0413200716
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,6,6.12599753827,16.2747389281,0.270578501543,0.885415977468,0.934249786871,0.910815173527,2.56438572956,10.6274844555,80.8604405895
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,7,5.97959892827,16.0018180536,0.294837588633,0.891558847247,0.938299232737,0.920702179177,2.66560075222,9.74703419757,79.0554850293
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,8,6.06664663755,15.8970853111,0.304038031382,0.884094772937,0.940537084399,0.921307506053,2.76263008478,9.97652461886,77.630594662
random_repeated_kfold,log_epsilon_minus_one,Morgan+Physical,9,6.28796382474,16.4330429745,0.25631935254,0.892786724733,0.934676044331,0.900928167877,2.57972902855,11.3986860603,80.5381166056
scaffold_cluster_5fold,raw,Morgan,42,9.02387704841,17.8376007983,0.123759386505,0.575484266337,0.800031969309,0.782082324455,5.92262116619,11.7487795446,84.134381958
scaffold_cluster_5fold,raw,Physical,42,8.87795562178,18.7269085476,0.0342100597854,0.779889253726,0.855232310315,0.881355932203,6.38683622549,11.929235925,61.9665739975
scaffold_cluster_5fold,raw,Morgan+Physical,42,8.07630582746,16.7260863582,0.229559387774,0.777252251004,0.86865942029,0.887610976594,5.41347435101,10.3586037448,73.0504779778
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan,42,8.22273379544,17.7332510041,0.133981397886,0.657176659966,0.841059249787,0.799939467312,4.10555352888,14.5926988776,84.8179235289
scaffold_cluster_5fold,log_epsilon_minus_one,Physical,42,6.59196621213,16.2491255936,0.272872635443,0.876866587719,0.921728473998,0.897800645682,2.85284256287,12.6173395711,74.1351373131
scaffold_cluster_5fold,log_epsilon_minus_one,Morgan+Physical,42,6.62481355643,16.3264158938,0.2659389021,0.863871960788,0.928495311168,0.917574656981,2.91090550097,11.9233585193,79.476530421
scaffold_cluster_5fold,raw,Morgan,43,9.33141521904,18.0983760519,0.0979518631333,0.51417771471,0.765824808184,0.734665052462,6.43045771596,11.1308555751,85.8863733253
scaffold_cluster_5fold,raw,Physical,43,9.31374870651,17.935510554,0.11411369919,0.713761469171,0.829923273657,0.884584342211,6.25048550836,13.5970622352,70.1330321274
