scenario,arm,split_id,repeat,fold,train_rows,test_rows,train_qids,test_qids,train_pair_capacity,test_pair_capacity,n_comparable_pairs,global_spearman,macro_query_spearman,micro_pairwise_accuracy,macro_pairwise_accuracy,auc_gt15,auc_gt30,calibrated_mae,calibrated_rmse,calibrated_r2
scaffold_butina_qid,rank_pairwise,21,4,1,195,39,89,22,757,42,42,0.655296321503,0.127380952381,0.571428571429,0.544444444444,0.85597826087,0.888888888889,6.73376903132,7.9332559155,0.300241566339
scaffold_butina_qid,regression_head,21,4,1,195,39,89,22,757,42,42,0.665603652322,0.560355568282,0.666666666667,0.761507936508,0.89402173913,0.972222222222,5.60834758225,7.86783665912,0.311734686139
scaffold_butina_qid,rank_pairwise,22,4,2,184,50,89,22,671,128,128,0.660616101417,0.0148351648352,0.640625,0.486970172684,0.849025974026,0.745257452575,11.3734987194,26.9662051631,0.0325083311011
scaffold_butina_qid,regression_head,22,4,2,184,50,89,22,671,128,128,0.789838891918,0.334929356358,0.578125,0.640397697541,0.883116883117,0.926829268293,10.6073102211,26.0738339138,0.0954817062001
scaffold_butina_qid,rank_pairwise,23,4,3,168,66,89,22,303,496,493,0.495068107335,0.501281047309,0.58215010142,0.737609469075,0.824561403509,0.967213114754,8.85902602637,14.3146062203,0.0124971576205
scaffold_butina_qid,regression_head,23,4,3,168,66,89,22,303,496,493,0.765038673152,0.698390824368,0.728194726166,0.79753181445,0.916179337232,0.960655737705,6.75860381809,12.4383423564,0.254402306533
scaffold_butina_qid,rank_pairwise,24,4,4,190,44,89,22,685,114,114,0.819620142163,0.647321428571,0.754385964912,0.802380952381,0.911764705882,0.957528957529,7.07716506801,11.958587309,0.489128370047
scaffold_butina_qid,regression_head,24,4,4,190,44,89,22,685,114,114,0.894770230584,0.702785796691,0.881578947368,0.798214285714,0.991176470588,0.996138996139,6.83247192556,11.7740792856,0.504771145923
scaffold_butina_qid,rank_pairwise,25,5,0,191,43,88,23,697,102,102,0.597100573845,0.00593406593407,0.607843137255,0.463003663004,0.726244343891,0.647368421053,8.22361422943,12.2750967652,0.170912542113
scaffold_butina_qid,regression_head,25,5,0,191,43,88,23,697,102,102,0.795409069167,0.574521460932,0.553921568627,0.806593406593,0.849547511312,0.847368421053,7.95791092857,11.6069845594,0.258708005517
scaffold_butina_qid,rank_pairwise,26,5,1,145,89,89,22,173,626,624,0.410561977621,0.610719431528,0.524038461538,0.781549484998,0.794117647059,0.943775100402,7.19447958572,9.4562006851,0.228999795364
scaffold_butina_qid,regression_head,26,5,1,145,89,89,22,173,626,624,0.768426025638,0.830575746453,0.750801282051,0.874379571578,0.90056022409,0.981927710843,5.92352652051,8.24460543985,0.413914623414
scaffold_butina_qid,rank_pairwise,27,5,2,198,36,89,22,775,24,24,0.819305019305,0.525,0.666666666667,0.741666666667,0.918831168831,0.883928571429,13.5002249068,32.9959319224,0.00325957787598
scaffold_butina_qid,regression_head,27,5,2,198,36,89,22,775,24,24,0.907008174862,0.857142857143,0.8125,0.85,0.961038961039,0.919642857143,11.1413456329,32.1211851564,0.0554077131898
scaffold_butina_qid,rank_pairwise,28,5,3,207,27,89,22,793,6,6,0.825217533657,1,1,1,0.888888888889,0.923076923077,6.25394648191,7.83143109975,0.282871514002
scaffold_butina_qid,regression_head,28,5,3,207,27,89,22,793,6,6,0.725690742694,0.875,0.833333333333,0.916666666667,0.849206349206,0.923076923077,6.02979375514,8.89435862061,0.0749952057436
scaffold_butina_qid,rank_pairwise,29,5,4,195,39,89,22,758,41,40,0.795384382819,0.637012129839,0.65,0.816326530612,0.911764705882,0.9,9.51529791611,16.655803077,0.206656706873
