inchikey,smiles,name,has_dielectric,dielectric,dielectric_T_K,has_viscosity,viscosity_Pa_s,viscosity_T_K,has_orbitals,HOMO_eV,LUMO_eV,gap_eV,IP_eV,EA_eV,dipole_au,dipole_D,has_redox_label,oxidation_free_energy_eV,reduction_free_energy_eV,has_density,density_kg_m3,density_T_K,has_liquid_window,mp_C,bp_C,flash_point_C,ambient_density_g_cm3,n_core_channels,channels_present
ZWHLRFSVAJHQAH-UHFFFAOYSA-N,O=C1C2COC(O2)C2OC12,CompMol27115,false,,,false,,,true,-9.74120044708,1.00349998474,10.7447004318,7.56167125702,1.25848579407,1.16045788237,2.94958972958,false,,,false,,,false,,,,,1,orbitals
ZWIBWWKLRNKMLW-UHFFFAOYSA-N,FCC1CCOC1F,CompMol12581,false,,,false,,,true,-10.6670999527,1.69900000095,12.3660999537,8.23645496368,0.109173618257,1.73931176382,4.42088954114,false,,,false,,,false,,,,,1,orbitals
ZWITUURZSIJPQA-UHFFFAOYSA-N,COC(=O)OCC(C)F,CompMol8,false,,,false,,,true,-11.0180997849,1.53779995441,12.5558997393,8.86138534546,0.233171015978,1.11310359121,2.82922712704,false,,,false,,,false,,,,,1,orbitals
ZWJBBRSKAXMAIS-UHFFFAOYSA-N,O=C1C=C(C(Cl)(Cl)Cl)C1,CompMol16832,false,,,false,,,true,-9.99870014191,0.158800005913,10.1575001478,7.57786035538,2.04622721672,0.783020056581,1.9902384671,false,,,false,,,false,,,,,1,orbitals
ZWJGQUFMXLQDHD-UHFFFAOYSA-N,O=CCC(Cl)(Cl)CC=O,CompMol17584,false,,,false,,,true,-10.0469999313,1.29309999943,11.3400999307,7.98259449005,0.58642822504,0.180562809365,0.458944883858,false,,,false,,,false,,,,,1,orbitals
ZWJWRNUDGKPTTO-UHFFFAOYSA-N,Cc1ccnn1F,CompMol6874,false,,,false,,,true,-9.64299964905,1.73269999027,11.3756996393,7.04071426392,0.245888099074,1.62459657117,4.12931260482,false,,,false,,,false,,,,,1,orbitals
ZWKWLFAFHPFFOJ-UHFFFAOYSA-N,COC(=O)CC(C)OC=O,CompMol26375,false,,,false,,,true,-10.6232004166,1.50039994717,12.1236003638,8.32620716095,0.286438316107,1.25189915364,3.18201025832,false,,,false,,,false,,,,,1,orbitals
ZWLUXSQADUDCSB-UHFFFAOYSA-N,O=Cc1ccccc1C=O,CompMol861,false,,,false,,,true,-9.70209980011,-0.341199994087,9.36089980602,7.5621547699,2.45426130295,2.57927330013,6.55585881351,false,,,false,,,false,,,,,1,orbitals
ZWLYGHBLRSGKQE-UHFFFAOYSA-N,COP(OC)OC(C)=O,CompMol18449,false,,,false,,,true,-9.11149978638,1.63429999352,10.7457997799,6.72147703171,0.777822136879,1.22514415332,3.11400583062,false,,,false,,,false,,,,,1,orbitals
ZWMHRTGCOKWEBG-UHFFFAOYSA-N,C=COCOCOCC,CompMol16567,false,,,false,,,true,-9.22399997711,1.67879998684,10.9027999639,6.59618806839,0.147762343287,0.862393146748,2.19198473909,false,,,false,,,false,,,,,1,orbitals
ZWMOXBDPLRKZJB-UHFFFAOYSA-N,CC1CC1CC[N+](=O)[O-],CompMol21981,false,,,false,,,true,-10.0942001343,0.505200028419,10.5994001627,7.53711509705,1.72930729389,1.87024686053,4.75369336139,false,,,false,,,false,,,,,1,orbitals
ZWMOZXYIFLAQRQ-UHFFFAOYSA-N,CCOC(=O)C(C)(F)C=O,CompMol23664,false,,,false,,,true,-10.2983999252,1.10529994965,11.4036998749,8.01688289642,1.21260797977,1.69503771998,4.30835614636,false,,,false,,,false,,,,,1,orbitals
ZWOLNCFLYFPDMN-UHFFFAOYSA-N,CCC(C)(N=O)C(C)C,CompMol14576,false,,,false,,,true,-8.83199977875,0.440299987793,9.27229976654,6.47438526154,1.98298728466,1.32969910194,3.37975800251,false,,,false,,,false,,,,,1,orbitals
ZWOQEIRPSFUMNI-UHFFFAOYSA-N,CC1OC(=O)C(C)N1P,CompMol16310,false,,,false,,,true,-8.41219997406,1.5965000391,10.0087000132,5.84568881989,0.154139831662,1.85442618252,4.71348120886,false,,,false,,,false,,,,,1,orbitals
