observation_id,dataset_source,inchikey,smiles,name,T_K,dielectric,uncertainty_value,uncertainty_kind,confidence_level,source_doi,source_file,source_sha256,source_size_bytes,in_selection_window,selection_status,source_scope,gate_flags
p1_dielectric:1432,P1 ThermoML,YEYKMVJDLWJFOA-UHFFFAOYSA-N,CCCOCCO,2-propoxyethanol,298.15,11.5,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1433,P1 ThermoML,YEYKMVJDLWJFOA-UHFFFAOYSA-N,CCCOCCO,2-propoxyethanol,303.15,11.19,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1434,P1 ThermoML,MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,diethylene glycol,293.15,31.81,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1435,P1 ThermoML,MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,diethylene glycol,298.15,30.95,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1436,P1 ThermoML,MTHSVFCYNBDYFN-UHFFFAOYSA-N,OCCOCCO,diethylene glycol,303.15,30.03,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1437,P1 ThermoML,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,triethylene glycol,293.15,23.69,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1438,P1 ThermoML,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,triethylene glycol,298.15,23.07,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1439,P1 ThermoML,ZIBGPFATKBEMQZ-UHFFFAOYSA-N,OCCOCCOCCO,triethylene glycol,303.15,22.43,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1440,P1 ThermoML,UWHCKJMYHZGTIT-UHFFFAOYSA-N,OCCOCCOCCOCCO,tetraethylene glycol,293.15,20.44,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1441,P1 ThermoML,UWHCKJMYHZGTIT-UHFFFAOYSA-N,OCCOCCOCCOCCO,tetraethylene glycol,298.15,19.91,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1442,P1 ThermoML,UWHCKJMYHZGTIT-UHFFFAOYSA-N,OCCOCCOCCOCCO,tetraethylene glycol,303.15,19.35,0.04,combined,95,10.1016/j.jct.2007.09.004,data/raw/thermoml/10.1016__j.jct.2007.09.004-506d4cdbace7.xml,6e76905a67da283374324a1a8cc4502341d6c809de97bbe9eea4ae2d41ce740a,209803,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1561,P1 ThermoML,YFNKIDBQEZZDLK-UHFFFAOYSA-N,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",298.15,7.578,0.152,combined,95,10.1016/j.jct.2008.02.015,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,55971938b0e372660b794c9c92971d80dcfce69ef5fb0589731401dd9e5837ac,191585,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1566,P1 ThermoML,IEJIGPNLZYLLBP-UHFFFAOYSA-N,COC(=O)OC,dimethyl carbonate,298.15,3.134,0.063,combined,95,10.1016/j.jct.2008.02.015,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,55971938b0e372660b794c9c92971d80dcfce69ef5fb0589731401dd9e5837ac,191585,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1571,P1 ThermoML,OIFBSDVPJOWBCH-UHFFFAOYSA-N,CCOC(=O)OCC,diethyl carbonate,298.15,2.834,0.057,combined,95,10.1016/j.jct.2008.02.015,data/raw/thermoml/10.1016__j.jct.2008.02.015-2d3aeceb748c.xml,55971938b0e372660b794c9c92971d80dcfce69ef5fb0589731401dd9e5837ac,191585,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1686,P1 ThermoML,BKIMMITUMNQMOS-UHFFFAOYSA-N,CCCCCCCCC,nonane,298.15,1.98,0.04,combined,95,10.1016/j.jct.2008.09.006,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,236667,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1692,P1 ThermoML,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",298.15,7.069,0.141,combined,95,10.1016/j.jct.2008.09.006,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,236667,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1698,P1 ThermoML,SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",298.15,7.363,0.147,combined,95,10.1016/j.jct.2008.09.006,data/raw/thermoml/10.1016__j.jct.2008.09.006-26d32d668650.xml,fac691ab5f03cd711a6fa1735049bed46fcac2bcf22a6b00e1c6ee0bc4e70c0f,236667,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1898,P1 ThermoML,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,heptane,298.15,1.93,0.04,combined,95,10.1016/j.jct.2010.09.008,data/raw/thermoml/10.1016__j.jct.2010.09.008-f6e26363bf46.xml,44596c2f9d64df0eb6802fa1fe82b61406d72bb916143d70a41cadd404d88944,244663,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1901,P1 ThermoML,XTHFKEDIFFGKHM-UHFFFAOYSA-N,COCCOC,"1,2-dimethoxyethane",298.15,7.07,0.14,combined,95,10.1016/j.jct.2010.09.008,data/raw/thermoml/10.1016__j.jct.2010.09.008-f6e26363bf46.xml,44596c2f9d64df0eb6802fa1fe82b61406d72bb916143d70a41cadd404d88944,244663,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1904,P1 ThermoML,SBZXBUIDTXKZTM-UHFFFAOYSA-N,COCCOCCOC,"2,5,8-trioxanonane",298.15,7.4,0.15,combined,95,10.1016/j.jct.2010.09.008,data/raw/thermoml/10.1016__j.jct.2010.09.008-f6e26363bf46.xml,44596c2f9d64df0eb6802fa1fe82b61406d72bb916143d70a41cadd404d88944,244663,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1907,P1 ThermoML,YFNKIDBQEZZDLK-UHFFFAOYSA-N,COCCOCCOCCOC,"2,5,8,11-tetraoxadodecane",298.15,7.63,0.15,combined,95,10.1016/j.jct.2010.09.008,data/raw/thermoml/10.1016__j.jct.2010.09.008-f6e26363bf46.xml,44596c2f9d64df0eb6802fa1fe82b61406d72bb916143d70a41cadd404d88944,244663,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:1910,P1 ThermoML,ZUHZGEOKBKGPSW-UHFFFAOYSA-N,COCCOCCOCCOCCOC,"2,5,8,11,14-pentaoxapentadecane",298.15,7.78,0.16,combined,95,10.1016/j.jct.2010.09.008,data/raw/thermoml/10.1016__j.jct.2010.09.008-f6e26363bf46.xml,44596c2f9d64df0eb6802fa1fe82b61406d72bb916143d70a41cadd404d88944,244663,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:2275,P1 ThermoML,YIWUKEYIRIRTPP-UHFFFAOYSA-N,CCCCC(CC)CO,2-ethyl-1-hexanol,298.2,7.353,0.022,combined,95,10.1016/j.jct.2011.07.021,data/raw/thermoml/10.1016__j.jct.2011.07.021-b960d527f398.xml,6bba0fe8b1a4dbfd0d27aadeb4b360739d7a111d8eec00f38d76640e1fa84da0,185499,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
p1_dielectric:2278,P1 ThermoML,BMRWNKZVCUKKSR-UHFFFAOYSA-N,CCC(O)CO,"1,2-butanediol",298.2,22.143,0.037,combined,95,10.1016/j.jct.2011.07.021,data/raw/thermoml/10.1016__j.jct.2011.07.021-b960d527f398.xml,6bba0fe8b1a4dbfd0d27aadeb4b360739d7a111d8eec00f38d76640e1fa84da0,185499,true,primary,p1_thermoml_zero_frequency_pure_293.15_303.15K,zero_frequency|pure_component|experimental
