variant,repeat,mae,rmse,r2,spearman,auc_gt15,auc_gt30,mae_lt20,mae_20_60,mae_gt60
Hybrid_xtb_raw,0,6.95308345860551,15.888626741157498,0.3047784535068122,0.8430840978118017,0.9249786871270247,0.9132364810330912,4.086501905885528,9.902743610018778,72.75991525268554
Hybrid_xtb_raw,1,6.836873021240233,16.020142846263834,0.2932216030200998,0.8259488282198666,0.9171994884910486,0.9174737691686844,4.001772755596305,9.533192182086761,73.77696046447754
Hybrid_xtb_raw,2,6.914696637751881,15.835070463538964,0.30945736336441676,0.8151061717549134,0.9183716965046888,0.9118240516545603,4.3765568571549425,8.711733777909052,72.02480172729493
Hybrid_xtb_raw,3,6.526268769946214,15.511005612871916,0.33743207443797063,0.8346184959790997,0.913150042625746,0.9188861985472155,3.9371853042771536,8.660380115690687,70.41477098083496
Hybrid_xtb_raw,4,6.503007484452783,15.392448189667912,0.3475219606617438,0.8483776236636695,0.9324381926683718,0.9241323648103309,3.838713147100617,8.922766895475842,70.3687294921875
Hybrid_xtb_raw,5,6.806638403560359,15.402964248203508,0.3466301153823025,0.8146471329898496,0.9212489343563512,0.9083938660209846,4.122337532596346,9.41006247910999,69.76178369140625
Hybrid_xtb_raw,6,6.5935888203392965,15.827194903353194,0.31014407425890034,0.8156201671603048,0.9138959931798806,0.9053672316384181,3.919971403638622,8.546012651171004,74.67953900909424
Hybrid_xtb_raw,7,6.5040577305658855,15.466976620106529,0.3411882196605458,0.829849005104084,0.9249786871270247,0.9295803066989506,3.894291634738294,8.562867431458972,71.67866487121583
Hybrid_xtb_raw,8,6.819663149538736,15.708561402294407,0.3204470124961133,0.828837500216518,0.9238064791133845,0.9144471347861178,4.328652190821684,8.612445469084241,70.47623796081544
Hybrid_xtb_raw,9,6.814935863654904,16.05471199434391,0.29016806118305927,0.8437858464824414,0.9244458653026428,0.9065778853914447,4.027313507698155,8.996004706064861,76.58282403564453
Hybrid_density_raw,0,7.044944866048301,15.982524176046534,0.29653703491113226,0.8411768680026319,0.9236999147485081,0.9037530266343825,4.111441704711431,10.194111059098017,73.29064874267578
Hybrid_density_raw,1,6.9738644878368845,16.121045436719005,0.2842903016715147,0.822627359265514,0.9163469735720375,0.915859564164649,4.09486236266607,9.737320203145345,74.73730363464355
Hybrid_density_raw,2,7.009200320330364,15.811872031720817,0.31147917589691176,0.8123495405699,0.9152813299232737,0.9094027441485069,4.39725447716049,9.095640728178479,72.02058953857423
Hybrid_density_raw,3,6.572399917842586,15.4160429237663,0.3455200900026557,0.8280254156176239,0.9114450127877237,0.9162631154156577,3.993290999953354,8.76054556001936,69.69181832885742
Hybrid_density_raw,4,6.596437500212134,15.48822589543493,0.3393767616502509,0.8423280788246033,0.9329710144927537,0.9160613397901534,3.874520403932016,9.149826878320605,71.16054696655274
Hybrid_density_raw,5,6.81603017095054,15.524465716011438,0.33628165229785834,0.8198669602218719,0.9216751918158568,0.9013317191283292,4.1535074099866645,9.248014697846912,70.5230793914795
Hybrid_density_raw,6,6.650432190404753,15.880255902680636,0.3055108080843112,0.8179846853192537,0.9182651321398124,0.8981033091202583,3.90232601013425,8.849063450767881,75.02208489990235
Hybrid_density_raw,7,6.560033691460214,15.48742083544022,0.33944543672280125,0.8253066821984968,0.925618073316283,0.9194915254237288,3.929939584971078,8.737896110716319,71.37696313476563
Hybrid_density_raw,8,6.944547282165899,15.766978261456973,0.31538338340556504,0.8247520042841737,0.9208226768968457,0.9108151735270379,4.381206208938888,9.049290385654995,70.26628312683106
Hybrid_density_raw,9,6.832966012323891,16.077418095620633,0.2881588176213967,0.8407457527653116,0.9263640238704178,0.9043583535108959,3.9996232669347442,9.118040300278437,77.17197274780274
Hybrid_xtb_log,0,6.222011034614749,16.467554886177467,0.2531923854923597,0.8976202299782625,0.9386189258312021,0.9098062953995157,2.4467380054546304,11.651544063023158,79.91256131744385
Hybrid_xtb_log,1,6.203291187977674,16.59817835697022,0.24129778458080453,0.886135431491328,0.9359548167092924,0.905367231638418,2.475733241048644,11.235567773001534,81.72299899673462
Hybrid_xtb_log,2,6.327141169718301,16.268302217597704,0.27115536444560717,0.8656072650407408,0.9310528559249788,0.9154560129136401,2.8506264723982997,10.77894625509353,78.78984288787842
Hybrid_xtb_log,3,6.112926796450731,16.207980869081666,0.2765503198415127,0.881778312065357,0.9315856777493605,0.9120258272800645,2.4889271500599532,11.082580711001443,78.88622274017334
Hybrid_xtb_log,4,6.150645809027509,16.193715743622402,0.27782321854749625,0.896853344119339,0.9406436487638533,0.924132364810331,2.461636098672167,11.358778477805002,78.9750382385254
Hybrid_xtb_log,5,6.296136341828137,16.21961340806483,0.275511501173629,0.8750371741299393,0.9329710144927537,0.9100080710250202,2.729410778779622,11.172724868411109,78.04132051086427
Hybrid_xtb_log,6,6.22575439432935,16.53010915062884,0.2475079071466264,0.8854211610949196,0.9342497868712702,0.910815173527038,2.442439708882344,11.454094554537818,81.86044110870361
Hybrid_xtb_log,7,5.992416139996227,16.23404924284646,0.27422130390388044,0.8914752707878306,0.9382992327365729,0.9207021791767553,2.5089806287656855,10.279736695789156,80.0554856262207
Hybrid_xtb_log,8,6.116076295925233,16.122957976032758,0.284120473463211,0.8841149705810432,0.9405370843989771,0.9213075060532687,2.5925862482384794,10.738429496583484,78.63059491729737
Hybrid_xtb_log,9,6.371443403553846,16.675961579320546,0.23417018542473955,0.8927393647389394,0.9346760443307758,0.9009281678773204,2.4722010033559196,12.091608509971982,81.538116355896
Hybrid_density_log,0,6.332848723260833,16.67467344103292,0.23428849423713027,0.8919432989614642,0.9337169650468883,0.9017352703793382,2.428306805155549,12.234587047940208,80.14177140808106
Hybrid_density_log,1,6.271215764690493,16.624437578944512,0.23889526919167725,0.8847794034346839,0.9317988064791133,0.9045601291364003,2.4976807100054583,11.440472283862887,82.09316873168946
Hybrid_density_log,2,6.396178133120653,16.367511931418225,0.2622387672836497,0.8657472556592825,0.9312659846547314,0.9126311541565778,2.843506467321855,11.021690496535529,79.80629891967774
