row_id,source,inchikey,smiles,name,IP,EA,HOMO,LUMO,dipole,oxidation_free_energy,reduction_free_energy,source_doi,method,status
rx392:2a523d412b04d31a1160fdb5962b3724-C4H6O3-0-1,RX-392,JNBNIINHOBNMLY-UHFFFAOYSA-N,[CH2-]OC(=O)[O+]=CC,2a523d412b04d31a1160fdb5962b3724-C4H6O3-0-1,4.6636682091502735,2.960800092194404,,,,3.8001786823260773,-3.796719543495783,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:7daa5fbb02de5e72b0368d31249f24e5-C4H6O3-0-1,RX-392,NCHRDVARPJUMRC-UHFFFAOYSA-N,C=COC(=O)OC,7daa5fbb02de5e72b0368d31249f24e5-C4H6O3-0-1,7.247896095204851,0.2343568146116013,,,,6.802939620863981,-0.9367001424161572,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:8e12f0e9d0bcddddc5919ed33f643e1e-C3F2H1O3P1-0-1,RX-392,ATHGTBQXCLJKGP-UHFFFAOYSA-N,O=C(OC=C=[F+])O[P-]F,8e12f0e9d0bcddddc5919ed33f643e1e-C3F2H1O3P1-0-1,5.774422681766737,4.478825044887344,,,,5.150286682743172,-5.2304024837576435,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:20aa5b08677c6496f350080e4d039a60-C3F1H6O3P1-0-1,RX-392,AAGZBCKUVAXJNL-MRVPVSSYSA-N,[CH2-]OCC=[O+][P@@](O)F,20aa5b08677c6496f350080e4d039a60-C3F1H6O3P1-0-1,3.862048916413187,3.2904560250681243,,,,2.9825503801585,-4.033408681796573,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:0184135e4f900328a3c661dd5600d9a8-C3H6O4-0-1,RX-392,BBRSEFOSZWEMPE-UHFFFAOYSA-N,O=C(O)OCCO,0184135e4f900328a3c661dd5600d9a8-C3H6O4-0-1,8.353897771688935,0.5371320815629588,,,,7.8839130503383785,-0.6417276563115593,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:bb7fccf8e480fc83a39edf4843d93c6c-C2F3H2O2P1-0-1,RX-392,HRGLKGRUHMYRFP-UHFFFAOYSA-N,O=P(F)(F)[O+]=[C-]CF,bb7fccf8e480fc83a39edf4843d93c6c-C2F3H2O2P1-0-1,7.301579996874352,2.5554589727835264,,,,6.473020601177268,-3.707431595885282,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:b7f4432b69c68f4865160e1bdad6ef9a-C2F3H2O2P1-0-1,RX-392,MBUXOOLUQJTNIB-UHFFFAOYSA-N,O=P(F)(F)OC[C-]=[F+],b7f4432b69c68f4865160e1bdad6ef9a-C2F3H2O2P1-0-1,7.563862952811178,2.6799700104020303,,,,6.8818732089712285,-3.4253466767113423,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:73d82496d43b06e56f25c4a0d106f468-C2F3H2O2P1-0-1,RX-392,QOJASGSRCAWPGI-UPHRSURJSA-N,O=P(F)(F)O/C=C\F,73d82496d43b06e56f25c4a0d106f468-C2F3H2O2P1-0-1,7.845036184211494,0.12113966991819325,,,,7.21684245767392,-1.6886225937378185,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:390b4ebf4b758be7382327cd87d28e99-C5F1H7O2-0-1,RX-392,ILQXZULLEHDOHG-UHFFFAOYSA-N,[O+]#COCCC[CH-]F,390b4ebf4b758be7382327cd87d28e99-C5F1H7O2-0-1,4.685543208788658,3.695672654419468,,,,3.930486999990535,-4.614591883530011,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:0d40ed1ae2549562537c4d2ef026dc32-C2F3H2O1P1-0-1,RX-392,SXMHFQFWJLNVGF-UHFFFAOYSA-N,FC[C-]=[O+]P(F)F,0d40ed1ae2549562537c4d2ef026dc32-C2F3H2O1P1-0-1,6.677735046094313,2.0946186508008395,,,,5.860436883238435,-3.2941688127466477,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:f5c0d32cb4243e77b18ae286bc39a8db-C2F3H2O1P1-0-1,RX-392,ZQAOZAYCWQBIAN-UHFFFAOYSA-N,FP(F)OC[C-]=[F+],f5c0d32cb4243e77b18ae286bc39a8db-C2F3H2O1P1-0-1,7.328798641341564,2.5570222478781943,,,,6.702114034334954,-3.2789404403811204,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:31ebd083e3d73bfad23b4361f9fb48e6-C2F2H3O2P1-0-1,RX-392,PVXDVJPIOWEQIZ-UHFFFAOYSA-N,C=COP(=O)(F)F,31ebd083e3d73bfad23b4361f9fb48e6-C2F2H3O2P1-0-1,7.726288058816863,0.41208886798631283,,,,7.248042417657416,-1.8997206458479923,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:079282e8951ef25043cc187a1eeeba61-C3F3H2O3P1-0-1,RX-392,BOQAQYZLOGHMDL-UHFFFAOYSA-N,O=P(F)(F)O[C-]=[O+]C[C-]=[F+],079282e8951ef25043cc187a1eeeba61-C3F3H2O3P1-0-1,7.525889601041854,2.719854881386709,,,,6.9034758714042255,-3.481498845943861,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
rx392:3c248ee85a538adb3b04a15c91ad0bfd-C3F2H5O2P1-0-1,RX-392,CMFWTHBATNXNEO-UHFFFAOYSA-N,[CH-]=[O+]CCOP(F)F,3c248ee85a538adb3b04a15c91ad0bfd-C3F2H5O2P1-0-1,6.431718026989984,1.8910615968961793,,,,5.830159189968981,-2.41504952415562,10.1021/acsnano.6c06255,wB97X-V/def2-TZVPPD/SMD(DIELECTRIC=18.5); redox_free_ener.py free-energy convention,source_native_dft
