inchikey,in_target_key_set,in_publishable_pure_subset,n_epsilon_observations,n_viscosity_observations,has_epsilon_and_viscosity,in_walden_pair_set,n_walden_pairs,key_carries_admissible_dn,admissible_dn_value,admissible_dn_source_id,admissible_dn_source_doi,key_carries_predicted_dn,predicted_dn_value,predicted_dn_source_id,dn_channel_status
DCAYPVUWAIABOU-UHFFFAOYSA-N,true,true,0,10,false,false,0,false,,,,false,,,no_dn
DCKVNWZUADLDEH-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
DCTOHCCUXLBQMS-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DEBGMRXCXCOKTA-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DEDZSLCZHWTGOR-UHFFFAOYSA-N,true,true,0,4,false,false,0,false,,,,false,,,no_dn
DENRZWYUOJLTMF-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DEQLTFPCJRGSHW-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DHKHKXVYLBGOIT-UHFFFAOYSA-N,true,true,0,2,false,false,0,false,,,,false,,,no_dn
DHXVGJBLRPWPCS-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,true,20.879768,solvfunc87_predicted_dn,predicted_dn_only
DHZCVEDTDMGIHQ-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DIKBFYAXUHHXCS-UHFFFAOYSA-N,true,true,0,5,false,false,0,false,,,,false,,,no_dn
DIOQZVSQGTUSAI-UHFFFAOYSA-N,true,true,0,19,false,false,0,false,,,,false,,,no_dn
DIQMPQMYFZXDAX-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
DJCYDDALXPHSHR-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DJNTZVRUYMHBTD-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DKGAVHZHDRPRBM-UHFFFAOYSA-N,true,true,5,27,true,false,0,false,,,,false,,,no_dn
DKMROQRQHGEIOW-UHFFFAOYSA-N,true,true,0,3,false,false,0,false,,,,false,,,no_dn
DKPFZGUDAPQIHT-UHFFFAOYSA-N,true,true,0,16,false,false,0,false,,,,true,15.620225,solvfunc87_predicted_dn,predicted_dn_only
DKRUJKKWJGNYQN-UHFFFAOYSA-N,true,true,0,1,false,false,0,false,,,,false,,,no_dn
DLFVBJFMPXGRIB-UHFFFAOYSA-N,true,true,0,4,false,false,0,false,,,,false,,,no_dn
DLRJIFUOBPOJNS-UHFFFAOYSA-N,true,true,0,10,false,false,0,false,,,,false,,,no_dn
