inchikey,name,smiles,T_K,dipole_D,molar_volume_m3_mol,polarizability_au,polarizability_A3,alpha_density,high_frequency_epsilon,reaction_field_term,onsager_epsilon,epsilon_observed,delta_raw,delta_log,hbond_donor_sites,hba,tpsa_A2,formal_charge,n_fragments,n_charged_fragments,max_abs_formal_charge,ionic_flag,zwitterion_flag,assoc_flag,n_ring,n_aromatic_ring,onsager_version
HPXRVTGHNJAIIH-UHFFFAOYSA-N,cyclohexanol,OC1CCCCC1,298.15,2.062,6.5867767e-05,74.444378,11.031521,0.0336195660309,1.10436748774,1.3185741039,6.99300079031,15.71,8.71699920969,0.897935281265,1,1,20.23,0,1,0,0,0,0,1,1,0,onsager_lorentz_lorenz_reaction_field_v1
HQWOEDCLDNFWEV-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium diethyl phosphate,CCOP(=O)([O-])OCC.CCn1cc[n+](C)c1,298.15,11.775,0.00014280182,173.90873,25.770621,0.036226033892,1.11276306011,19.8329926035,96.6466343683,16.9,-79.7466343683,-1.79434139909,0,4,67.4,0,2,2,1,1,0,0,1,1,onsager_lorentz_lorenz_reaction_field_v1
HXJUTPCZVOIRIF-UHFFFAOYSA-N,sulfolane,O=S1(=O)CCCC1,298.15,5.763,6.1546279e-05,75.973445,11.258105,0.0367191941319,1.11435666705,11.0228931792,54.0253899274,44,-10.0253899274,-0.209570738382,0,2,34.14,0,1,0,0,0,0,0,1,0,onsager_lorentz_lorenz_reaction_field_v1
HZAXFHJVJLSVMW-UHFFFAOYSA-N,2-aminoethan-1-ol,NCCO,303.15,3.18,3.949079e-05,42.28692,6.2662764,0.0318524889152,1.09870135042,5.14441291895,25.2714322229,31.46,6.18856777711,0.227114317402,2,2,46.25,0,1,0,0,0,0,1,0,0,onsager_lorentz_lorenz_reaction_field_v1
HZKDSQCZNUUQIF-UHFFFAOYSA-M,1-ethyl-3-methylimidazolium hydrogen sulfate,CCn1cc[n+](C)c1.O=S(=O)([O-])O,298.15,3.924,0.00010429866,125.37712,18.578976,0.0357579565735,1.11125201442,3.01563954346,15.1917971963,18.4,3.20820280365,0.203806070753,1,3,86.24,0,2,2,1,1,0,1,1,1,onsager_lorentz_lorenz_reaction_field_v1
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl sulfoxide,CS(C)=O,298,4.12,4.3364231e-05,53.024297,7.8573918,0.0363727726246,1.11323706385,7.9998435417,39.3405912447,46.05,6.70940875528,0.161263825462,0,1,17.07,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
IEJIGPNLZYLLBP-UHFFFAOYSA-N,dimethyl carbonate,COC(=O)OC,298.15,0.579,4.9410461e-05,51.511859,7.6332716,0.0310114060222,1.09601167511,0.138592070325,1.5899816096,3.134,1.5440183904,1.28566206562,0,3,35.53,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
IIRFCWANHMSDCG-UHFFFAOYSA-N,cyclooctanone,O=C1CCCCCCC1,300.65,3.302,8.2170906e-05,94.611223,14.01994,0.034249775351,1.10639327171,2.68787970881,13.5668987419,14.38,0.813101258128,0.0626947815618,0,1,17.07,0,1,0,0,0,0,0,1,0,onsager_lorentz_lorenz_reaction_field_v1
IMNFDUFMRHMDMM-UHFFFAOYSA-N,heptane,CCCCCCC,298.15,0.053,7.7478454e-05,86.827902,12.86657,0.0333358465647,1.10345634452,0.000740578251134,1.10583566295,1.93,0.82416433705,2.1732970446,0,0,0,0,1,0,0,0,0,0,0,0,onsager_lorentz_lorenz_reaction_field_v1
JHIVVAPYMSGYDF-UHFFFAOYSA-N,cyclohexanone,O=C1CCCCC1,298.15,3.477,6.2437555e-05,71.278747,10.562423,0.0339584074962,1.10545635227,3.95515633135,19.6553000971,15.79,-3.86530009707,-0.232179016504,0,1,17.07,0,1,0,0,0,0,0,1,0,onsager_lorentz_lorenz_reaction_field_v1
