model,repeat,fold,seed,n_train,n_test,train_id_hash,test_id_hash,config,mae,rmse,r2
RBF_GPR,2,4,42,80,20,f6ed29b767bc3f7063517607c574bd9d6b1ef5776e0df80c1785c8e7d758258a,75e294582da6d3f7ae50be6984ad24fa0cf5268f2abc91f795f2e160518b94c7,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,16.695101100975478,35.83032259162852,0.07966082165589106
XGBoost,2,4,42,80,20,f6ed29b767bc3f7063517607c574bd9d6b1ef5776e0df80c1785c8e7d758258a,75e294582da6d3f7ae50be6984ad24fa0cf5268f2abc91f795f2e160518b94c7,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",13.977879802265168,37.30973065533591,0.002091547558649265
Tanimoto_GPR,3,0,42,80,20,727542339e530e1c46af50c8a0d9a27c4a84e05bc59a24988c5530c36531a654,9b1b0b68ef06ad318050caa404006d0b737f121246becafe27e62d33260df453,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",12.076990895031031,36.54210426359496,0.03311116607703091
RBF_GPR,3,0,42,80,20,727542339e530e1c46af50c8a0d9a27c4a84e05bc59a24988c5530c36531a654,9b1b0b68ef06ad318050caa404006d0b737f121246becafe27e62d33260df453,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,14.491343811557181,35.6020745699499,0.08221691136364129
XGBoost,3,0,42,80,20,727542339e530e1c46af50c8a0d9a27c4a84e05bc59a24988c5530c36531a654,9b1b0b68ef06ad318050caa404006d0b737f121246becafe27e62d33260df453,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",13.022454632759096,38.11670296000767,-0.052010550823995194
Tanimoto_GPR,3,1,42,80,20,88fe024c1ab4e07d405dbde06b71678c4c3b42b1c4e7599c2272d051bb3d35ad,c4fce938cfc0da9a254f42b8cdaaa470ce934c9320749c84cc26b96e5c901750,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",7.806912952788581,9.983420667252393,0.17762959313206883
RBF_GPR,3,1,42,80,20,88fe024c1ab4e07d405dbde06b71678c4c3b42b1c4e7599c2272d051bb3d35ad,c4fce938cfc0da9a254f42b8cdaaa470ce934c9320749c84cc26b96e5c901750,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,8.135396967979478,9.860170581304109,0.19780936418894846
XGBoost,3,1,42,80,20,88fe024c1ab4e07d405dbde06b71678c4c3b42b1c4e7599c2272d051bb3d35ad,c4fce938cfc0da9a254f42b8cdaaa470ce934c9320749c84cc26b96e5c901750,"count Morgan r=2/2048; XGBoost n_estimators=800, max_depth=10, learning_rate=0.05, subsample=0.8, colsample_bytree=0.6, tree_method=exact, n_jobs=1, seed=42",6.5527577281188965,9.47755970445982,0.25885737844497503
Tanimoto_GPR,3,2,42,80,20,944ea2bea491b8fa9c716f48719c18f9ab4d4e8f0a02583e152b26bb7f0b68f6,228a28f5925d98c0e4a72125fb1bfe06122c3cb20ebbd7d1423423073004db76,"binary Morgan r=2/2048; precomputed Tanimoto; GPR(alpha=1e-6, normalize_y=True, optimizer=None)",14.209283767374984,24.90491227617243,0.11141568656726109
RBF_GPR,3,2,42,80,20,944ea2bea491b8fa9c716f48719c18f9ab4d4e8f0a02583e152b26bb7f0b68f6,228a28f5925d98c0e4a72125fb1bfe06122c3cb20ebbd7d1423423073004db76,count Morgan r=2/2048; StandardScaler; C(1)*RBF(length_scale=10)+White(noise_level=1); alpha=1e-6; normalize_y=True; n_restarts=2; seed=42,17.731558871363358,31.730028673102726,-0.4423462795002766
