model,seed,repeat,fold,n_train,n_test,train_id_hash,test_id_hash,mae,rmse,r2
SizeOnlyRidge,42,2,3,80,20,502915fc474268c26588d221cb1382864d37c1ea95efd164d51354a6dbf17238,4b1d44246192a79b8635395191085a8ca1ac7cc69a68c460dd9d1dc6c8e629e9,8.979540722508748,10.321040651266554,-0.14841667767011657
MorganRBFGPR,42,2,3,80,20,502915fc474268c26588d221cb1382864d37c1ea95efd164d51354a6dbf17238,4b1d44246192a79b8635395191085a8ca1ac7cc69a68c460dd9d1dc6c8e629e9,6.081547458653421,8.695309097224387,0.18487809709682734
DummyMean,42,2,4,80,20,f6ed29b767bc3f7063517607c574bd9d6b1ef5776e0df80c1785c8e7d758258a,75e294582da6d3f7ae50be6984ad24fa0cf5268f2abc91f795f2e160518b94c7,20.404612999999998,37.57661226822501,-0.0122358644353191
SizeOnlyRidge,42,2,4,80,20,f6ed29b767bc3f7063517607c574bd9d6b1ef5776e0df80c1785c8e7d758258a,75e294582da6d3f7ae50be6984ad24fa0cf5268f2abc91f795f2e160518b94c7,19.279664562030682,36.85649311137158,0.026189409845723266
MorganRBFGPR,42,2,4,80,20,f6ed29b767bc3f7063517607c574bd9d6b1ef5776e0df80c1785c8e7d758258a,75e294582da6d3f7ae50be6984ad24fa0cf5268f2abc91f795f2e160518b94c7,16.695101100975478,35.83032259162852,0.07966082165589106
DummyMean,42,3,0,80,20,727542339e530e1c46af50c8a0d9a27c4a84e05bc59a24988c5530c36531a654,9b1b0b68ef06ad318050caa404006d0b737f121246becafe27e62d33260df453,19.441425000000002,37.9383374569592,-0.04218790908182157
SizeOnlyRidge,42,3,0,80,20,727542339e530e1c46af50c8a0d9a27c4a84e05bc59a24988c5530c36531a654,9b1b0b68ef06ad318050caa404006d0b737f121246becafe27e62d33260df453,19.210171180776445,37.5102648615017,-0.018801794955350504
MorganRBFGPR,42,3,0,80,20,727542339e530e1c46af50c8a0d9a27c4a84e05bc59a24988c5530c36531a654,9b1b0b68ef06ad318050caa404006d0b737f121246becafe27e62d33260df453,14.491343811557181,35.6020745699499,0.08221691136364129
DummyMean,42,3,1,80,20,88fe024c1ab4e07d405dbde06b71678c4c3b42b1c4e7599c2272d051bb3d35ad,c4fce938cfc0da9a254f42b8cdaaa470ce934c9320749c84cc26b96e5c901750,9.336380625,11.803415662637413,-0.14954012212502876
SizeOnlyRidge,42,3,1,80,20,88fe024c1ab4e07d405dbde06b71678c4c3b42b1c4e7599c2272d051bb3d35ad,c4fce938cfc0da9a254f42b8cdaaa470ce934c9320749c84cc26b96e5c901750,9.85892770313572,12.303419771772049,-0.2489941800834643
MorganRBFGPR,42,3,1,80,20,88fe024c1ab4e07d405dbde06b71678c4c3b42b1c4e7599c2272d051bb3d35ad,c4fce938cfc0da9a254f42b8cdaaa470ce934c9320749c84cc26b96e5c901750,8.135396967979478,9.860170581304109,0.19780936418894846
DummyMean,42,3,2,80,20,944ea2bea491b8fa9c716f48719c18f9ab4d4e8f0a02583e152b26bb7f0b68f6,228a28f5925d98c0e4a72125fb1bfe06122c3cb20ebbd7d1423423073004db76,17.813269249999998,26.748167169930255,-0.024983011023340218
SizeOnlyRidge,42,3,2,80,20,944ea2bea491b8fa9c716f48719c18f9ab4d4e8f0a02583e152b26bb7f0b68f6,228a28f5925d98c0e4a72125fb1bfe06122c3cb20ebbd7d1423423073004db76,17.039132035615403,25.428064746371064,0.07369240128358467
MorganRBFGPR,42,3,2,80,20,944ea2bea491b8fa9c716f48719c18f9ab4d4e8f0a02583e152b26bb7f0b68f6,228a28f5925d98c0e4a72125fb1bfe06122c3cb20ebbd7d1423423073004db76,17.731558871363358,31.730028673102726,-0.4423462795002766
DummyMean,42,3,3,80,20,18ea565364c1e6b3552acbe46751ed5d1fcc23d30f6f746f1aed9f485ee0f62f,b53430204e68e2b4218540bf18956886385e6da90f2de8affca0e1ae22fe6c6e,10.237372687499999,11.94876655092929,-0.25177520619190563
SizeOnlyRidge,42,3,3,80,20,18ea565364c1e6b3552acbe46751ed5d1fcc23d30f6f746f1aed9f485ee0f62f,b53430204e68e2b4218540bf18956886385e6da90f2de8affca0e1ae22fe6c6e,10.522796935327506,12.825993501255956,-0.44232198680960355
MorganRBFGPR,42,3,3,80,20,18ea565364c1e6b3552acbe46751ed5d1fcc23d30f6f746f1aed9f485ee0f62f,b53430204e68e2b4218540bf18956886385e6da90f2de8affca0e1ae22fe6c6e,6.547759422273316,9.151574984760176,0.26570279024956545
DummyMean,42,3,4,80,20,034aaa599e1cbdb1d83752087c25375c35285b53c54f2eadae73e132d3179492,d646c63fe2a72d8072fa41afec72775408220381fdd29230a66d33cef4ff1be7,17.4180195,20.943841707078835,-0.011086014616522366
SizeOnlyRidge,42,3,4,80,20,034aaa599e1cbdb1d83752087c25375c35285b53c54f2eadae73e132d3179492,d646c63fe2a72d8072fa41afec72775408220381fdd29230a66d33cef4ff1be7,16.078558132777232,20.705400474990363,0.011804938220596917
MorganRBFGPR,42,3,4,80,20,034aaa599e1cbdb1d83752087c25375c35285b53c54f2eadae73e132d3179492,d646c63fe2a72d8072fa41afec72775408220381fdd29230a66d33cef4ff1be7,13.985160712237462,16.74199110412103,0.3539150520756663
DummyMean,42,4,0,80,20,11abaeb2d14b5e5d4a114472314eb824510a69c149d064a72dc268262c412931,adc34eb9b792c7e2e77911d9957c7ede8314e792358172cf3cd6adccdd4299bc,12.713007125,15.877092255495624,-0.010313641110683669
SizeOnlyRidge,42,4,0,80,20,11abaeb2d14b5e5d4a114472314eb824510a69c149d064a72dc268262c412931,adc34eb9b792c7e2e77911d9957c7ede8314e792358172cf3cd6adccdd4299bc,11.668458277139097,15.236375446537549,0.06958305400027498
MorganRBFGPR,42,4,0,80,20,11abaeb2d14b5e5d4a114472314eb824510a69c149d064a72dc268262c412931,adc34eb9b792c7e2e77911d9957c7ede8314e792358172cf3cd6adccdd4299bc,8.164968100345956,12.032320812150413,0.41975275676875057
DummyMean,42,4,1,80,20,41d578c860ad158685aee8dcc476f66f136e1da76ba54499ece384e3171946fc,dcc32ad62882ff53ca32e6977f79731acfb3938802536e936339fea51eca39fc,15.757085124999998,22.40944611577828,-0.007843814305029007
SizeOnlyRidge,42,4,1,80,20,41d578c860ad158685aee8dcc476f66f136e1da76ba54499ece384e3171946fc,dcc32ad62882ff53ca32e6977f79731acfb3938802536e936339fea51eca39fc,15.616264847049328,21.68736560346806,0.0560595619914287
MorganRBFGPR,42,4,1,80,20,41d578c860ad158685aee8dcc476f66f136e1da76ba54499ece384e3171946fc,dcc32ad62882ff53ca32e6977f79731acfb3938802536e936339fea51eca39fc,14.591188640275096,22.526687543679188,-0.018417047033763456
DummyMean,42,4,2,80,20,0b70bc98b151b65143f0969249b8f6497d1d2557756082d8026ccfeb68ef20b0,20955b71e57cb2d1e074b42dc7f98295582e6281057599199f46950858744b7b,14.583079374999997,22.157801583934493,-0.029341175276774045
SizeOnlyRidge,42,4,2,80,20,0b70bc98b151b65143f0969249b8f6497d1d2557756082d8026ccfeb68ef20b0,20955b71e57cb2d1e074b42dc7f98295582e6281057599199f46950858744b7b,13.733415300837644,20.926453476262566,0.08188460035757272
MorganRBFGPR,42,4,2,80,20,0b70bc98b151b65143f0969249b8f6497d1d2557756082d8026ccfeb68ef20b0,20955b71e57cb2d1e074b42dc7f98295582e6281057599199f46950858744b7b,12.001144080882172,21.305102253646584,0.04835876201284017
